According ^in+cmpx+++=According
to ^in++++=to
Usresearcher ^np+nom++??+=USResearcher
08 ^nn+++??+=08
( ^zz++++=(Questionnaire,
questionnaire ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
supervisors ^nns++++=supervisors
who ^whp+rel+subj++=who
provide ^vb+vsua+++=provide
substantial ^jj+atrb+++=substantial
motivation ^nn+nom+++=motivation
for ^in++++=for
research ^nn++++=research
and ^cc++++=and
grant ^nn++++=grant
autonomy ^nn++++=autonomy
in ^in++++=in
its ^pp$+it+++=its
development ^nn+nom+++=development
are ^vb+ber+vrb++=are
highly ^rb+amp+++=highly
beneficial ^jj+pred+++=beneficial
to ^in++++=to
researchers ^nns+nom+++=researchers.
. ^zz++++=EXTRAWORD
