Specialized ^vprf+++xvbn+=Specialized
business ^nns+nom+++=business
districts ^nns++++=districts
( ^zz++++=(SBDs)
sbds ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
increase ^nn++++=increase
competition ^nn+nom+++=competition
for ^in++++=for
land ^nn++++=land
among ^in++++=among
households ^nns++++=households
and ^cc++++=and
firms ^nns++++=firms
( ^zz++++=(Wheaton,
wheaton ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
low ^jj++++=low-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
households ^nns++++=households
are ^vb+ber+aux++=are
often ^rb++splt++=often
displaced ^vpsv++agls+xvbnx+=displaced
from ^in++++=from
newly ^rb++++=newly
developed ^jj+atrb++xvbn+=developed
business ^nns+nom+++=business
areas ^nns++++=areas
to ^in++++=to
the ^ati++++=the
urban ^jj+atrb+++=urban
periphery ^nn+nom+++=periphery
due ^jj++++=due
to ^to+jcmp+++=to
rising ^vbg+++xvbg+=rising
rent ^nn++++=rent
prices ^nns++++=prices.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
displacement ^nn+nom+++=displacement
leads ^vbz++++=leads
to ^to++++=to
increased ^vbi++++=increased
demand ^nn++++=demand
for ^in++++=for
public ^jj+atrb+++=public
transportation ^nn+nom+++=transportation
from ^in++++=from
peripheral ^jj+atrb+++=peripheral
areas ^nns++++=areas
to ^in++++=to
the ^ati++++=the
city ^nn++++=city
center ^jjr++++=center,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
altering ^vbg+++xvbg+=altering
the ^ati++++=the
traditional ^jj+atrb+++=traditional
concentric ^jj+atrb+++=concentric
transportation ^nn+nom+++=transportation
pattern ^nn++++=pattern
characteristic ^nn++++=characteristic
of ^in++++=of
monocentric ^jj+atrb+++=monocentric
cities ^nns++++=cities.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
commuting ^jj+atrb++xvbg+=commuting
patterns ^nns++++=patterns
become ^vb++++=become
less ^rbr++++=less
predictable ^jj++++=predictable,
, ^zz++++=EXTRAWORD
as ^in++++=as
cross ^jj++++=cross-commuting
- ^zz++++=EXTRAWORD
commuting ^xvbg+++xvbg+=EXTRAWORD
emerges ^vbz++++=emerges
as ^in++++=as
a ^at++++=a
viable ^jj+atrb+++=viable
option ^nn++++=option
for ^in++++=for
households ^nns++++=households.
. ^zz++++=EXTRAWORD
Workers ^nns+nom+++=Workers
location ^nn+nom+++=location
decisions ^nns++++=decisions
are ^vb+ber+aux++=are
influenced ^vpsv++agls+xvbnx+=influenced
not ^xnot++not++=not
only ^rb+down+++=only
by ^in++++=by
the ^ati++++=the
desire ^nn++++=desire
to ^to+ncmp+++=to
minimize ^vbi++++=minimize
commuting ^jj+atrb++xvbg+=commuting
costs ^nns++++=costs
but ^cc++++=but
also ^rb++++=also
by ^in++++=by
the ^ati++++=the
spatial ^jj+atrb+++=spatial
distribution ^nn+nom+++=distribution
of ^in++++=of
employment ^nn+nom+++=employment
opportunities ^nns+nom+++=opportunities
that ^tht+rel+obj++=that
match ^nn++++=match
their ^pp$+pp3+++=their
skills ^nns++++=skills.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
workers ^nns+nom+++=workers
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
assured ^vbd+vpub++xvbn+=assured
of ^in++++=of
minimizing ^vbg+++xvbg+=minimizing
their ^pp$+pp3+++=their
commuting ^jj+atrb+++=commuting
distances ^nns+nom+++=distances.
. ^zz++++=EXTRAWORD
