Liberali ^np+++??+=Liberali
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
argues ^vbz+vpub+++=argues
that ^tht+vcmp+++=that
the ^ati++++=the
construction ^nn+nom+++=construction
of ^in++++=of
social ^jj+atrb+++=social
change ^nn++++=change
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
effectively ^rb++++=effectively
addressing ^vbg+++xvbg+=addressing
and ^cc+phrs+++=and
transforming ^vbg+++xvbg+=transforming
the ^ati++++=the
persistent ^jj++++=persistent
and ^cc+phrs+++=and
expanding ^jj+atrb++xvbg+=expanding
social ^jj+atrb+++=social
inequalities ^nns+nom+++=inequalities
observed ^vbd+++xvbn+=observed
in ^in++++=in
contemporary ^jj+atrb+++=contemporary
society ^nn++++=society.
. ^zz++++=EXTRAWORD
The ^ati++++=The
workshop ^nn++++=workshop
described ^vbd+++xvbn+=described
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
was ^vbd+bedz+aux++=was
designed ^vpsv++agls+xvbnx+=designed
to ^to+vcmp+++=to
facilitate ^nn+nom+++=facilitate
participants ^nns+nom+++=participants'
' ^zz++++=EXTRAWORD
engagement ^nn+nom+++=engagement
in ^in++++=in
activities ^nns+nom+++=activities
guided ^vwbn+++xvbn+=guided
by ^in++++=by
political ^jj+atrb+++=political
and ^cc+phrs+++=and
ethical ^jj+atrb+++=ethical
considerations ^nns+nom+++=considerations.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
engagement ^nn+nom+++=engagement
necessitates ^nns+nom+++=necessitates
adopting ^vbg+++xvbg+=adopting
a ^at++++=a
critical ^jj+atrb+++=critical
perspective ^nn++++=perspective
on ^in++++=on
personal ^jj+atrb+++=personal
values ^nns++++=values
and ^cc++++=and
aspirations ^nns+nom+++=aspirations.
. ^zz++++=EXTRAWORD
Self ^nn++++=Self-development
- ^zz++++=EXTRAWORD
development ^nn+nom+++=EXTRAWORD
occurs ^vbz++++=occurs
in ^in++++=in
tandem ^nn+++??+=tandem
with ^in++++=with
societal ^jj+atrb+++=societal
change ^nn++++=change,
, ^zz++++=EXTRAWORD
with ^in++++=with
each ^dt++++=each
influencing ^jj+++xvbg+=influencing
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
fostering ^jj+atrb++xvbg+=fostering
agency ^nn++++=agency
for ^in++++=for
social ^jj+atrb+++=social
transformation ^nn+nom+++=transformation
is ^vbz+bez+aux++=is
urgently ^rb++splt++=urgently
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
overcome ^vbi++++=overcome
the ^ati++++=the
divisions ^nns++++=divisions
perpetuated ^vbd+++xvbn+=perpetuated
by ^in++++=by
everyday ^jjb+atrb+++=everyday
social ^jj+atrb+++=social
realities ^nns+nom+++=realities.
. ^zz++++=EXTRAWORD
