More ^rbr++++=More
specifically ^rb+cnj+++=specifically,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
activity ^nn+nom+++=activity
provided ^vbd+++xvbn+=provided
participants ^nns+nom+++=participants
with ^in++++=with
the ^ati++++=the
opportunity ^nn+nom+++=opportunity
to ^to+ncmp+++=to
voluntarily ^rb++splt++=voluntarily
share ^vbi++++=share
personal ^jj+atrb+++=personal
information ^nn+nom+++=information
with ^in++++=with
the ^ati++++=the
group ^nn++++=group
and ^cc++++=and
to ^to++++=to
respond ^vbi++++=respond
to ^in++++=to
others ^aps++++=others'
' ^zz++++=EXTRAWORD
disclosures ^nns+++??+=disclosures
by ^in++++=by
choosing ^xvbg+++xvbg+=choosing
whether ^cs+who+++=whether
or ^cc++++=or
not ^xnot++not++=not
to ^to++++=to
turn ^vbi++++=turn
on ^rb+phrv+++=on
their ^pp$+pp3+++=their
cameras ^nns++++=cameras.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
action ^nn++++=action,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
decision ^nn++++=decision
to ^to+ncmp+++=to
refrain ^vbi++++=refrain
from ^in++++=from
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
served ^j+++xvbn+=served
as ^ql++++=as
a ^at++++=a
nonverbal ^jj+atrb+++=nonverbal
indicator ^nn++++=indicator
of ^in++++=of
identification ^nn+nom+++=identification
or ^cc++++=or
differentiation ^nn+nom+++=differentiation
with ^in++++=with
the ^ati++++=the
shared ^jj+atrb++xvbn+=shared
experiences ^nns+nom+++=experiences.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
this ^dt+dem+++=this
process ^nns+nom+++=process,
, ^zz++++=EXTRAWORD
participants ^nns+nom+++=participants
were ^vbd+bed+aux++=were
exposed ^vpsv++agls+xvbnx+=exposed
to ^in++++=to
a ^at++++=a
range ^nn++++=range
of ^in++++=of
personal ^jj+atrb+++=personal
characteristics ^nns++++=characteristics
and ^cc++++=and
were ^vbd+bed+vrb++=were
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
express ^nns+nom+++=express
the ^ati++++=the
extent ^nn++++=extent
to ^to++++=to
which ^whp+who+++=which
they ^pp3a+pp3+++=they
related ^vbd+++xvbnx+=related
to ^in++++=to
these ^dt+dem+++=these
traits ^nns++++=traits,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
reflecting ^vbg+vprv++xvbg+=reflecting
on ^in++++=on
their ^pp$+pp3+++=their
own ^ap++++=own
subjectivity ^nn+nom+++=subjectivity
in ^in++++=in
a ^at++++=a
shared ^jj+atrb+++=shared
context ^nn++++=context
( ^zz++++=(Sawaia,
sawaia ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
