Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
expansion ^nn++++=expansion
of ^in++++=of
remote ^jj+atrb+++=remote
work ^nn++++=work
opportunities ^nns+nom+++=opportunities,
, ^zz++++=EXTRAWORD
contributed ^j+++xvbn+=contributed
to ^to++++=to
widening ^vbi++++=widening
existing ^jj+atrb++xvbg+=existing
labor ^nn++++=labor
market ^nn++++=market
inequalities ^nns+nom+++=inequalities
by ^in++++=by
disproportionately ^rb++++=disproportionately
benefiting ^vbg+++xvbg+=benefiting
wealthier ^jjr++++=wealthier,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
educated ^jj+++xvbn+=educated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
formally ^rb++++=formally
employed ^xvbn+++xvbn+=employed
workers ^nns+nom+++=workers,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
compelling ^jj+++xvbg+=compelling
others ^aps++++=others
to ^to++++=to
choose ^vbi++++=choose
between ^in++++=between
maintaining ^xvbg+++xvbg+=maintaining
employment ^nn+nom+++=employment
and ^cc++++=and
income ^nn++++=income
or ^cc++++=or
facing ^xvbg+++xvbg+=facing
increased ^vprf+++xvbn+=increased
risk ^vb++++=risk
of ^in++++=of
contagion ^nn++++=contagion.
. ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
offer ^nn++++=offer
important ^jj+atrb+++=important
insights ^nns++++=insights
for ^in++++=for
policymakers ^nns+nom+++=policymakers,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
labor ^nn++++=labor
market ^nn++++=market
effects ^nns++++=effects
of ^in++++=of
the ^ati++++=the
pandemic ^nn++++=pandemic
are ^vb+ber+vrb++=are
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
persist ^nn+nom+++=persist,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
in ^in++++=in
part ^nn++++=part,
, ^zz++++=EXTRAWORD
even ^rb++++=even
after ^in++++=after
the ^ati++++=the
resumption ^nn+nom+++=resumption
of ^in++++=of
regular ^jj+atrb+++=regular
economic ^jj+atrb+++=economic
activity ^nn+nom+++=activity.
. ^zz++++=EXTRAWORD
