Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
The ^ati++++=The
species ^nn++++=species
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
a ^at++++=a
pale ^nn++++=pale
orange ^np++++=orange
to ^in++++=to
greyish ^jj+atrb+++=greyish
orange ^nn++++=orange
( ^zz++++=(beige)
beige ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
receptacle ^vb+++??+=receptacle
composed ^vbd+++xvbn+=composed
of ^in++++=of
3 ^zz++++=3
to ^to++++=to
5 ^zz++++=5
columns ^nns++++=columns,
, ^zz++++=EXTRAWORD
with ^in++++=with
glebifers ^nns+nom+++=glebifers
present ^vb++++=present
on ^in++++=on
lateral ^jj+atrb+++=lateral
expansions ^nns+++??+=expansions
( ^zz++++=(
teeth ^nns++++=teeth
) ^zz++++=)
distributed ^vbd+++xvbn+=distributed
along ^in++++=along
the ^ati++++=the
margins ^nns++++=margins
of ^in++++=of
the ^ati++++=the
columns ^nns++++=columns
( ^zz++++=(Trierveiler-Pereira
trierveiler ^jjr++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pereira ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
melanda ^np++++=Melanda
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
