Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
world ^nn++++=world
turning ^vwbg+++xvbg+=turning
more ^rbr++++=more
hostile ^jj++++=hostile
to ^in++++=to
dual ^jj+atrb+++=dual
identities ^nns+++??+=identities,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
research ^nn++++=research
has ^vbz+hvz+vrb++=has
several ^ap++++=several
practical ^jj++++=practical
and ^cc++++=and
policy ^nn++++=policy
implications ^nns++++=implications
globally ^nn+++??+=globally.
. ^zz++++=EXTRAWORD
Reality ^nn++++=Reality
constraints ^nns+++??+=constraints
on ^in++++=on
identity ^nn++++=identity
construction ^nn++++=construction
and ^cc++++=and
enactment ^nn++++=enactment
such ^abl++++=such
as ^ql++++=as
discrimination ^nn++++=discrimination
are ^vb+ber+aux++=are
conceived ^vpsv++agls+xvbnx+=conceived
as ^ql++++=as
generic ^jj+atrb+++=generic
underlying ^jj+atrb++xvbg+=underlying
processes ^nns++++=processes
that ^tht+rel+subj++=that
connect ^vb++++=connect
the ^ati++++=the
socialization ^nn+++??+=socialization
or ^cc++++=or
broader ^jjr+atrb+++=broader
intergroup ^nn+++??+=intergroup
context ^nn++++=context
to ^in++++=to
minority ^nn++++=minority
identifications ^nns++++=identifications.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
empirical ^jj+atrb+++=empirical
evidence ^nn++++=evidence
is ^vbz+bez+aux++=is
mostly ^rb++splt++=mostly
restricted ^vpsv++agls+xvbnx+=restricted
to ^in++++=to
Muslim ^jj+atrb+++=Muslim
minorities ^nns++++=minorities
in ^in++++=in
Western ^jj+atrb+++=Western
Europe ^np++++=Europe
as ^in++++=as
a ^at++++=a
relatively ^rb++++=relatively
tense ^jj++++=tense
and ^cc++++=and
often ^rb++++=often
overtly ^rb++++=overtly
hostile ^jj+atrb+++=hostile
intergroup ^nn+++??+=intergroup
context ^nn++++=context
( ^zz++++=(Fleischmann
fleischmann ^np++++=EXTRAWORD
& ^zz++++=&
Phalet ^np+++??+=Phalet,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
; ^zz++++=;
Hopkins ^np+++??+=Hopkins
& ^zz++++=&
Blackwood ^np+++??+=Blackwood,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
Looking ^vbg+++xvbg+=Looking
beyond ^in++++=beyond
Western ^jj+atrb+++=Western
Europe ^np++++=Europe,
, ^zz++++=EXTRAWORD
recent ^jj+atrb+++=recent
increases ^nns++++=increases
in ^in++++=in
salient ^nn+++??+=salient
anti ^nn+++??+=anti-Muslim
- ^zz++++=EXTRAWORD
muslim ^jj+atrb+++=EXTRAWORD
rhetoric ^nn++++=rhetoric
in ^in++++=in
other ^ap++++=other
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
spur ^vb++++=spur
comparable ^jj+atrb+++=comparable
narratives ^nns++++=narratives
on ^in++++=on
the ^ati++++=the
incompatibility ^nn++++=incompatibility
of ^in++++=of
Islamic ^jj+atrb+++=Islamic
and ^cc+phrs+++=and
American ^jj+atrb+++=American
values ^nns++++=values
( ^zz++++=(Balkaya
balkaya ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
Looking ^vbg+++xvbg+=Looking
beyond ^in++++=beyond
Muslim ^jj+atrb+++=Muslim
minorities ^nns++++=minorities,
, ^zz++++=EXTRAWORD
other ^ap++++=other
ethnic ^nn+++??+=ethnic-racial
- ^zz++++=EXTRAWORD
racial ^jj+atrb+++=EXTRAWORD
minorities ^nns++++=minorities
worldwide ^nn+++??+=worldwide
have ^vb+hv+aux++=have
also ^rb++splt++=also
been ^vprf+ben+aux+xvbnx+=been
represented ^vpsv++agls+xvbnx+=represented
as ^ql++++=as
outsiders ^nns++++=outsiders
to ^in++++=to
their ^pp$+pp3+++=their
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
Against ^in++++=Against
this ^dt+dem+++=this
background ^nn++++=background,
, ^zz++++=EXTRAWORD
the ^ati++++=the
experience ^nn++++=experience
of ^in++++=of
dual ^jj+atrb+++=dual
identity ^nn++++=identity
compatibility ^nn++++=compatibility
may ^md+pos+++=may
well ^rb++++=well
generalize ^vb++++=generalize
to ^in++++=to
minority ^nn++++=minority
adolescents ^nns++++=adolescents
growing ^vwbg+++xvbg+=growing
up ^rp++++=up
in ^in++++=in
other ^ap++++=other
societies ^nns++++=societies
outside ^jjb++++=outside
Europe ^np++++=Europe.
. ^zz++++=EXTRAWORD
In ^in++++=In
support ^nn++++=support
of ^in++++=of
this ^dt+dem+++=this
presumption ^nn++++=presumption,
, ^zz++++=EXTRAWORD
a ^at++++=a
recent ^jj+atrb+++=recent
study ^nn++++=study
among ^in++++=among
bicultural ^nn+++??+=bicultural
university ^npl++++=university
students ^nns++++=students
in ^in++++=in
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
identity ^nn++++=identity
denial ^nn++++=denial
was ^vbd+bedz+aux++=was
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
lower ^jjr+atrb+++=lower
dual ^jj+atrb+++=dual
identity ^nn++++=identity
compatibility ^nn++++=compatibility
( ^zz++++=(Albuja
albuja ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time,
, ^zz++++=EXTRAWORD
societies ^nns++++=societies
differ ^vb++++=differ
in ^in++++=in
the ^ati++++=the
ways ^nns++++=ways
they ^pp3a+pp3+++=they
represent ^vb++++=represent,
, ^zz++++=EXTRAWORD
implement ^vb++++=implement
and ^cc+phrs+++=and
justify ^vb++++=justify
intergroup ^jj+atrb++??+=intergroup
boundaries ^nns++++=boundaries
between ^in++++=between
minority ^nn++++=minority
and ^cc++++=and
majority ^nn++++=majority
citizens ^nns++++=citizens
and ^cc++++=and
minority ^nn++++=minority
group ^nn++++=group
members ^nns++++=members
across ^in+pl+++=across
different ^jj+atrb+++=different
societies ^nns++++=societies
have ^vb+hv+aux++=have
developed ^vprf+++xvbnx+=developed
a ^at++++=a
range ^nn++++=range
of ^in++++=of
different ^jj++++=different
( ^zz++++=(individual
individual ^jj++++=EXTRAWORD
and ^cc+phrs+++=and
collective ^jj++++=collective)
) ^zz++++=EXTRAWORD
identity ^nn++++=identity
strategies ^nns+++??+=strategies
in ^in++++=in
response ^nn++++=response
to ^in++++=to
discrimination ^nn++++=discrimination
( ^zz++++=(Lamont
lamont ^nn+++??+=EXTRAWORD
& ^zz++++=&
Mizrachi ^np+++??+=Mizrachi,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
) ^zz++++=).
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
future ^jjb+atrb+++=future
research ^nn++++=research
should ^md+nec+++=should
investigate ^vb++++=investigate
what ^wdt+who+++=what
makes ^vbz++++=makes
ethnic ^nn+++??+=ethnic/religious
and ^cc++++=and
national ^jj+atrb+++=national
identities ^nns+++??+=identities
less ^rbr++++=less
