During ^in++++=During
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
organization ^nn+nom+++=organization
has ^vbz+hvz+aux++=has
led ^vprf+++xvbnx+=led
a ^at++++=a
social ^jj+atrb+++=social
campaign ^nn++++=campaign
under ^in++++=under
the ^ati++++=the
slogan ^nn++++=slogan,
, ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
fall ^vb++++=fall
into ^in+ppvb+++=into
ageism ^nn++++=ageism.
. ^zz++++=EXTRAWORD
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Figure ^nn++++=Figure
1 ^zz++++=1
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
campaign ^nn++++=campaign,
, ^zz++++=EXTRAWORD
the ^ati++++=the
organization ^nn+nom+++=organization
aspired ^vbd+++xvbn+=aspired
to ^to++++=to
engage ^vbi++++=engage
in ^in++++=in
a ^at++++=a
joint ^jjb+atrb+++=joint
social ^jj+atrb+++=social
struggle ^nn++++=struggle
against ^in++++=against
categorizing ^xvbg+++xvbg+=categorizing
all ^abn++++=all
older ^jjr+atrb+++=older
adults ^nns++++=adults,
, ^zz++++=EXTRAWORD
60 ^cd++++=60
years ^nns++++=years
or ^cc++++=or
older ^jjr++++=older,
, ^zz++++=EXTRAWORD
as ^in++++=as
an ^at++++=an
at ^rb++++=at
risk ^vb++++=risk
population ^nn+nom+++=population
a ^at++++=a
generalization ^nn+nom+++=generalization
that ^tht+rel+subj++=that
defines ^vbz++++=defines
everyone ^pn++++=everyone
in ^in++++=in
this ^dt+dem+++=this
group ^nn++++=group
as ^in++++=as
elderly ^nn++++=elderly.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
categorization ^nn+nom+++=categorization
led ^vbd+++xvbn+=led
to ^in++++=to
the ^ati++++=the
implementation ^nn+nom+++=implementation
of ^in++++=of
an ^at++++=an
economic ^jj+atrb+++=economic
and ^cc+phrs+++=and
social ^jj+atrb+++=social
closure ^nn++++=closure,
, ^zz++++=EXTRAWORD
solely ^rb++++=solely
on ^in++++=on
the ^ati++++=the
criterion ^nn++++=criterion
of ^in++++=of
age ^nn++++=age.
. ^zz++++=EXTRAWORD
The ^ati++++=The
campaign ^nn++++=campaign
included ^vbd+++xvbn+=included
the ^ati++++=the
dissemination ^nn+nom+++=dissemination
of ^in++++=of
protest ^nn++++=protest
posts ^nns++++=posts
by ^in++++=by
older ^jjr+atrb+++=older
people ^nns++++=people,
, ^zz++++=EXTRAWORD
the ^ati++++=the
production ^nn+nom+++=production
of ^in++++=of
calls ^nns++++=calls/declarations
and ^cc++++=and
the ^ati++++=the
circulation ^nn+nom+++=circulation
of ^in++++=of
a ^at++++=a
petition ^nn+nom+++=petition
that ^tht+vcmp+subj++=that
called ^vbd+++xvbn+=called
for ^in+ppvb+++=for
signatures ^nns++++=signatures.
. ^zz++++=EXTRAWORD
The ^ati++++=The
products ^nns++++=products
were ^vbd+bed+aux++=were
published ^vpsv++agls+xvbnx+=published
on ^in++++=on
social ^jj+atrb+++=social
media ^nns++++=media,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
organization ^nn+nom+++=organization's
's ^$++++=EXTRAWORD
website ^nn++++=website,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+aux++=were
also ^rb++splt++=also
sent ^vpsv++by+xvbnx+=sent
by ^in++++=by
email ^nn+++??+=email
to ^in++++=to
a ^at++++=a
distribution ^nn+nom+++=distribution
list ^nn++++=list
and ^cc++++=and
published ^vpsv++agls+xvbn+=published
in ^in++++=in
the ^ati++++=the
organization ^nn+nom+++=organization's
's ^$++++=EXTRAWORD
newsletters ^nns+nom+++=newsletters.
. ^zz++++=EXTRAWORD
