Both ^abx++++=Both
also ^rb++++=also
point ^vb++++=point
out ^rp+pl+++=out
their ^pp$+pp3+++=their
responsibility ^nn++++=responsibility
as ^ql++++=as
therapists ^nns+++??+=therapists.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
client ^nn++++=client
commits ^nns+++??+=commits
a ^at++++=a
crime ^nn++++=crime,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
not ^xnot++not++=not
regard ^vb++++=regard
it ^pp3+it+++=it
as ^in++++=as
a ^at++++=a
private ^jj+atrb+++=private
matter ^nn++++=matter
anymore ^nn+++??+=anymore.
. ^zz++++=EXTRAWORD
T2 ^zz++++=T2
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
if ^cs+cnd+++=if
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
apparent ^jj+atrb+++=apparent
danger ^nn++++=danger
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
children ^nns++++=children
are ^vb+ber+aux++=are
not ^xnot++not++=not
harmed ^vbd+++xvbn+=harmed,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
may ^md+pos+++=may
continue ^vb++++=continue
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
private ^jj+atrb+++=private
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
