Adolescents ^nns++++=Adolescents
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
aware ^jj++++=aware
of ^in++++=of
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
opportunities ^nns+nom+++=opportunities
for ^in++++=for
social ^jj+atrb+++=social
mobility ^nn+nom+++=mobility
and ^cc++++=and
explicitly ^rb++++=explicitly
stated ^vbn+vpub++xvbn+=stated
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
viewed ^vbd+++xvbnx+=viewed
it ^pp3+it+++=it
as ^in++++=as
unfair ^jj++++=unfair
( ^zz++++=(
In ^np++++=In
our ^pp$+pp1+++=our
society ^nn++++=society,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
practice ^nn++++=practice
of ^in++++=of
discrimination ^nn+nom+++=discrimination
between ^in++++=between
rich ^jj++++=rich
and ^cc+phrs+++=and
poor ^jj++++=poor.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
really ^rb+emph+++=really
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
this ^dt+dem+++=this
because ^cs+cos+++=because
all ^abn++++=all
humans ^nns++++=humans
are ^vb+ber+vrb++=are
equal ^jj+pred+++=equal.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
discrimination ^nn+nom+++=discrimination
prevails ^vbz++++=prevails,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
country ^nn++++=country
cannot ^md+pos+not++=cannot
develop ^vb++++=develop
and ^cc++++=and
will ^md+prd+++=will
go ^vb++++=go
down ^rp++++=down.
. ^zz++++=EXTRAWORD
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
research ^nn++++=research
extends ^vbz++++=extends
recent ^jj+atrb+++=recent
literature ^nn++++=literature
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
focused ^vprf+++xvbnx+=focused
on ^in++++=on
children ^nns++++=children's
's ^$++++=EXTRAWORD
conceptions ^nns+nom+++=conceptions
of ^in++++=of
social ^jj+atrb+++=social
class ^nn++++=class
and ^cc++++=and
their ^pp$+pp3+++=their
perceptions ^nns+nom+++=perceptions
of ^in++++=of
individuals ^nns+nom+++=individuals
from ^in++++=from
different ^jj+atrb+++=different
social ^jj+atrb+++=social
class ^nn++++=class
backgrounds ^nns++++=backgrounds
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ghavami ^np+++??+=Ghavami
& ^zz++++=&
Mistry ^np+++??+=Mistry,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=)
by ^in++++=by
demonstrating ^xvbg+++xvbg+=demonstrating
consequences ^nns+nom+++=consequences
of ^in++++=of
such ^abl++++=such
beliefs ^nns++++=beliefs
for ^in++++=for
intergroup ^nn+++??+=intergroup
attitudes ^nns++++=attitudes
and ^cc++++=and
behaviors ^nns++++=behaviors
( ^zz++++=(Ruck
ruck ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
Evidence ^nn+nom+++=Evidence
from ^in++++=from
system ^nn++++=system
justification ^nn+nom+++=justification
theory ^nn++++=theory
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
stereotypes ^nns+++??+=stereotypes
about ^in++++=about
the ^ati++++=the
rich ^jj++++=rich
and ^cc+phrs+++=and
poor ^jj++++=poor
can ^md+pos+++=can
serve ^vb++++=serve
to ^to++++=to
justify ^vbi++++=justify
the ^ati++++=the
existing ^jj+atrb++xvbg+=existing
social ^jj+atrb+++=social
order ^nn++++=order
( ^zz++++=(Arsenio
arsenio ^nn++++=EXTRAWORD
& ^zz++++=&
willems ^np++++=Willems,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
