Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
the ^ati++++=the
authors ^nns++++=authors
primarily ^rb+down+++=primarily
perceived ^jj+atrb++xvbn+=perceived
embedded ^jj+atrb++xvbn+=embedded
constraints ^nns+++??+=constraints
from ^in++++=from
the ^ati++++=the
nonprofit ^nn+++??+=nonprofit
agents ^nns++++=agents
in ^in++++=in
the ^ati++++=the
organization ^nn++++=organization.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
reflections ^nns++++=reflections
also ^rb++++=also
reveal ^vb+vprv+++=reveal
the ^ati++++=the
constraints ^nns+++??+=constraints
that ^tht+rel+subj++=that
applied ^vwbn+++xvbn+=applied
sociology ^nn++++=sociology
brought ^vbd+++xvbn+=brought
to ^rb+phrv+++=to
the ^ati++++=the
project ^nn++++=project
which ^whp+rel+subj++=which
originated ^vbd+++xvbn+=originated
from ^in++++=from
our ^pp$+pp1+++=our
own ^ap++++=own
embeddedness ^nns+++??+=embeddedness
in ^in++++=in
a ^at++++=a
neoliberal ^nn+++??+=neoliberal
academic ^jj+atrb+++=academic
environment ^nn++++=environment
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
in ^in++++=in
the ^ati++++=the
organizational ^jj+atrb+++=organizational
networks ^nns++++=networks
which ^whp+rel+subj++=which
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
our ^pp$+pp1+++=our
joining ^nn++++=joining
pepin ^np++++=PEPiN.
. ^zz++++=EXTRAWORD
