Discrimination ^nn+nom+++=Discrimination
as ^in++++=as
a ^at++++=a
common ^jj+atrb+++=common
socialization ^nn+nom+++=socialization
experience ^nn+nom+++=experience
of ^in++++=of
minority ^nn+nom+++=minority
adolescents ^nns++++=adolescents
makes ^vbz++++=makes
it ^pp3+it+++=it
harder ^jjr++++=harder
for ^in++++=for
them ^pp3o+pp3+++=them
to ^to++++=to
sustain ^vbi++++=sustain
and ^cc+phrs+++=and
perform ^vb++++=perform
dual ^jj+atrb+++=dual
ethnic ^jj+atrb+++=ethnic
and ^cc+phrs+++=and
national ^jj+atrb+++=national
identifications ^nns+nom+++=identifications.
. ^zz++++=EXTRAWORD
Plausibly ^rb+cnj+++=Plausibly,
, ^zz++++=EXTRAWORD
discrimination ^nn+nom+++=discrimination
experiences ^nns+nom+++=experiences
convey ^vb++++=convey
key ^jjb+atrb+++=key
socialization ^nn+nom+++=socialization
messages ^nns+nom+++=messages
that ^tht+rel+subj++=that
reject ^vb++++=reject
the ^ati++++=the
ethnic ^jj+atrb+++=ethnic
identities ^nns+nom+++=identities
of ^in++++=of
minority ^nn+nom+++=minority
youth ^nn++++=youth
and ^cc++++=and
that ^cs+sub+++=that
devalue ^nn+++??+=devalue
them ^pp3o+pp3+++=them
as ^in++++=as
less ^rbr++++=less
than ^in++++=than
full ^jj+atrb+++=full
national ^jj+atrb+++=national
group ^nn++++=group
members ^nns+nom+++=members
( ^zz++++=(Alanya
alanya ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
; ^zz++++=;
Gharaei ^np+++??+=Gharaei
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
A ^at++++=A
handful ^nn+nom+++=handful
of ^in++++=of
studies ^nns++++=studies
have ^vb+hv+aux++=have
directly ^rb++splt++=directly
related ^vprf+++xvbnx+=related
discrimination ^nn+nom+++=discrimination
experiences ^nns+nom+++=experiences
to ^in++++=to
dual ^jj+atrb+++=dual
identity ^nn+nom+++=identity
compatibility ^nn+nom+++=compatibility,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
assessed ^vpsv++agls+xvbnx+=assessed
as ^ql++++=as
the ^ati++++=the
association ^nn+nom+++=association
between ^in++++=between
minorities ^nns+nom+++=minorities
ethnic ^nn++++=ethnic
and ^cc++++=and
national ^jj+atrb+++=national
identifications ^nns+nom+++=identifications.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
British ^jj+atrb+++=British
Muslims ^nn++++=Muslims
were ^vbd+bed+vrb++=were
less ^rbr++++=less
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
combine ^vbi++++=combine
strong ^jj+atrb+++=strong
ethno ^np++++=ethno-religious
- ^zz++++=EXTRAWORD
religious ^jj+atrb+++=EXTRAWORD
and ^cc+phrs+++=and
national ^jj+atrb+++=national
identifications ^nns+nom+++=identifications
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
experienced ^vbd+++xvbnx+=experienced
