Historical ^jj+atrb+++=Historical
conflicts ^nns++++=conflicts
have ^vb+hv+vrb++=have
a ^at++++=a
negative ^jj+atrb+++=negative
impact ^nn++++=impact
on ^in++++=on
contact ^nn++++=contact
intentions ^nns+nom+++=intentions
also ^rb++++=also
among ^in++++=among
members ^nns+nom+++=members
of ^in++++=of
the ^ati++++=the
historical ^jj+atrb+++=historical
perpetrator ^nn++++=perpetrator
group ^nn++++=group.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
reminded ^vbd+vsua++xvbn+=reminded
of ^in++++=of
their ^pp$+pp3+++=their
past ^jjb+atrb+++=past
wrongdoings ^nns+++??+=wrongdoings,
, ^zz++++=EXTRAWORD
perpetrator ^nn++++=perpetrator
group ^nn++++=group
members ^nns+nom+++=members
might ^md+pos+++=might
respond ^vb++++=respond
with ^in++++=with
emotions ^nns+nom+++=emotions
such ^abl++++=such
as ^ql++++=as
guilt ^nn++++=guilt
or ^cc++++=or
shame ^nn++++=shame
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Brown ^jj+atrb+++=Brown
& ^zz++++=&
ehaji ^nn+++??+=ehaji
, ^zz++++=,
2008 ^cd++++=2008
; ^zz++++=;
Doosje ^np+++??+=Doosje
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998
) ^zz++++=),
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
actively ^rb++++=actively
engage ^vb++++=engage
in ^in++++=in
more ^rbr++++=more
hostile ^jj+atrb+++=hostile
behaviors ^nns++++=behaviors,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
derogation ^nn+nom+++=derogation
of ^in++++=of
victim ^nn++++=victim
group ^nn++++=group
members ^nns+nom+++=members
( ^zz++++=(Castano
castano ^np++++=EXTRAWORD
& ^zz++++=&
Giner ^np+++??+=Giner-Sorolla,
- ^zz++++=EXTRAWORD
sorolla ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
; ^zz++++=;
Imhoff ^np+++??+=Imhoff
& ^zz++++=&
Banse ^np+++??+=Banse,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
) ^zz++++=)
or ^cc++++=or
overt ^jj+atrb+++=overt
denial ^nn++++=denial
of ^in++++=of
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
misdeeds ^nns+++??+=misdeeds
( ^zz++++=(Bilewicz,
bilewicz ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
; ^zz++++=;
Leach ^np+++??+=Leach
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
) ^zz++++=).
. ^zz++++=EXTRAWORD
All ^abn++++=All
these ^dt+dem+++=these
reactions ^nns+nom+++=reactions
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
have ^vbi++vrb++=have
adverse ^jj+atrb+++=adverse
effects ^nns++++=effects
on ^in++++=on
contact ^nn++++=contact
intentions ^nns+nom+++=intentions
and ^cc++++=and
contact ^nn++++=contact
expectations ^nns+nom+++=expectations
( ^zz++++=(Green
green ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
; ^zz++++=;
Imhoff ^np+++??+=Imhoff
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
; ^zz++++=;
vollhardt ^np++++=Vollhardt
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
) ^zz++++=).
. ^zz++++=EXTRAWORD
