Many ^ap++++=Many
of ^in++++=of
these ^dt+dem+++=these
policies ^nns++++=policies,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
shielding ^jj+atrb++xvbg+=shielding
advice ^nn++++=advice
or ^cc++++=or
new ^jj+atrb+++=new
laws ^nns++++=laws
to ^to++++=to
stay ^vbi++++=stay
at ^in++++=at
home ^nr++++=home,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
constitute ^vb++++=constitute
age ^nn++++=age
discrimination ^nn+nom+++=discrimination.
. ^zz++++=EXTRAWORD
Further ^jjb+atrb+++=Further,
, ^zz++++=EXTRAWORD
informal ^jj+atrb+++=informal
discrimination ^nn+nom+++=discrimination
may ^md+pos+++=may
also ^rb++++=also
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
propagated ^vpsv++agls+xvbnx+=propagated
worldwide ^nn+++??+=worldwide
via ^in++++=via
media ^nns++++=media
and ^cc++++=and
social ^jj+atrb+++=social
media ^nns++++=media.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
structural ^jj+atrb+++=structural
discriminations ^nns+nom+++=discriminations
may ^md+pos+++=may
establish ^vb+vprv+++=establish
a ^at++++=a
new ^jj+atrb+++=new
form ^nn++++=form
of ^in++++=of
ageism ^nn++++=ageism.
. ^zz++++=EXTRAWORD
Country ^nn++++=Country-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
advice ^nn++++=advice
in ^in++++=in
the ^ati++++=the
Uk ^np++++=UK
and ^cc++++=and
law ^nn++++=law
in ^in++++=in
Colombia ^np+++??+=Colombia
confined ^vwbn+++xvbn+=confined
older ^jjr+atrb+++=older
adults ^nns++++=adults
age ^nn++++=age
70 ^cd++++=70+
+ ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
lockdown(s ^nns+++??+=lockdown(s)
) ^zz++++=EXTRAWORD
and ^cc++++=and
beyond ^in++++=beyond
to ^in++++=to
their ^pp$+pp3+++=their
home ^nr++++=home.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
may ^md+pos+++=may
be ^vb+be+vrb++=be
a ^at++++=a
new ^jj+atrb+++=new
structural ^jj+atrb+++=structural
ageism ^nn++++=ageism
enabled ^vbd+++xvbn+=enabled
through ^in++++=through
the ^ati++++=the
health ^nn++++=health
and ^cc++++=and
safety ^nn++++=safety
measures ^nns++++=measures.
. ^zz++++=EXTRAWORD
