Many ^ap++++=Many
sociotherapists ^nns+++??+=sociotherapists
work ^nn++++=work
with ^in++++=with
vulnerable ^jj+atrb+++=vulnerable
populations ^nns++++=populations
including ^in+strn+++=including,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
limited ^vwbn+++xvbn+=limited
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
children ^nns++++=children,
, ^zz++++=EXTRAWORD
the ^ati++++=the
elderly ^jj++++=elderly,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
with ^in++++=with
disabilities ^nns+++??+=disabilities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
survived ^vprf+++xvbnx+=survived
natural ^jj+atrb+++=natural
disasters ^nns++++=disasters,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ravages ^nns++++=ravages
of ^in++++=of
war ^nn++++=war,
, ^zz++++=EXTRAWORD
genocide ^nn+++??+=genocide,
, ^zz++++=EXTRAWORD
military ^jj+atrb+++=military
attack ^nn++++=attack,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
forth ^np++++=forth.
. ^zz++++=EXTRAWORD
Sociotherapy ^np+++??+=Sociotherapy
has ^vbz+hvz+aux++=has
made ^vprf+++xvbnx+=made
its ^pp$+it+++=its
greatest ^jjt++++=greatest
and ^cc++++=and
most ^ql+emph+++=most
important ^jj+atrb+++=important
interventions ^nns++++=interventions
in ^in++++=in
settings ^nns++++=settings
where ^wrb+who+++=where
communities ^nns++++=communities
on ^in++++=on
mass ^nn++++=mass
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
traumatized ^nn+++??+=traumatized
by ^in++++=by
natural ^jj+atrb+++=natural
disasters ^nns++++=disasters,
, ^zz++++=EXTRAWORD
war ^nn++++=war,
, ^zz++++=EXTRAWORD
genocide ^nn+++??+=genocide,
, ^zz++++=EXTRAWORD
colonialism ^nn++++=colonialism,
, ^zz++++=EXTRAWORD
political ^jj+atrb+++=political
turmoil ^nn++++=turmoil,
, ^zz++++=EXTRAWORD
economic ^jj+atrb+++=economic
collapse ^nn++++=collapse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pandemics ^nns+++??+=pandemics.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
Richters ^np+++??+=Richters,
, ^zz++++=EXTRAWORD
Dekker ^np+++??+=Dekker,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Scholte ^np+++??+=Scholte
( ^zz++++=(2008)
2008 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
discuss ^vb++++=discuss
sociotherapeutic ^nn+++??+=sociotherapeutic
work ^nn++++=work
in ^in++++=in
the ^ati++++=the
aftermath ^nn++++=aftermath
of ^in++++=of
the ^ati++++=the
genocide ^nn+++??+=genocide
in ^in++++=in
Rwanda ^np+++??+=Rwanda.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
explain ^vb+vpub+++=explain
that ^tht+vcmp+++=that
the ^ati++++=the
focus ^nn++++=focus
is ^vbz+bez+vrb++=is
on ^in++++=on
enabling ^xvbg+++xvbg+=enabling
people ^nns++++=people
to ^to++++=to
regain ^vbi++++=regain
self ^nn++++=self-respect,
- ^zz++++=EXTRAWORD
respect ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
rebuild ^vb++++=rebuild
trust ^vb+vprv+++=trust,
, ^zz++++=EXTRAWORD
feel ^vb+vprv+++=feel
safe ^jj++++=safe
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
overcome ^jj+atrb++xvbn+=overcome
unjustified ^jj+atrb+++=unjustified
self ^nn++++=self-blame,
- ^zz++++=EXTRAWORD
blame ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
re ^in++++=re-establish
- ^zz++++=EXTRAWORD
establish ^vb+vprv+++=EXTRAWORD
a ^at++++=a
moral ^jj+atrb+++=moral
equilibrium ^nn++++=equilibrium,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
hope ^nn++++=hope,
, ^zz++++=EXTRAWORD
live ^vb++++=live
without ^in++++=without
terror ^nn++++=terror,
, ^zz++++=EXTRAWORD
forgive ^vb++++=forgive
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
harmed ^vprf+++xvbnx+=harmed
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
apologize ^vb++++=apologize
to ^in++++=to
those ^dt+pdem+++=those
whom ^whp+rel+obj++=whom
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
wronged ^nn+++??+=wronged,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
regain ^vb++++=regain
their ^pp$+pp3+++=their
rightful ^jj+atrb+++=rightful
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
community ^nn++++=community.
. ^zz++++=EXTRAWORD
( ^zz++++=(Richters,
richters ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dekker ^np++++=Dekker,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
scholte ^np++++=Scholte
2008 ^cd++++=2008)
) ^zz++++=EXTRAWORD
