Objective ^jj++++=Objective:
: ^zz++++=EXTRAWORD
To ^to++++=To
investigate ^nn+nom+++=investigate
the ^ati++++=the
extent ^nn++++=extent
to ^to++++=to
which ^whp+who+++=which
individual ^jj+atrb+++=individual
resilience ^nn+nom+++=resilience,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well-being
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
and ^cc++++=and
demographic ^jj+atrb+++=demographic
characteristics ^nns++++=characteristics
may ^md+pos+++=may
predict ^vb+vpub+++=predict
two ^cd++++=two
indicators ^nns++++=indicators
of ^in++++=of
coronavirus ^np++++=Coronavirus
pandemic ^nn++++=pandemic:
: ^zz++++=EXTRAWORD
distress ^nns+nom+++=distress
symptoms ^nns++++=symptoms
and ^cc++++=and
perceived ^jj+atrb+++=perceived
danger ^nn++++=danger.
. ^zz++++=EXTRAWORD
