Both ^abx++++=Both
therapies ^nns+++??+=therapies
are ^vb+ber+vrb++=are
generally ^rb+down+++=generally
inadequate ^jj+pred+++=inadequate
in ^in++++=in
acknowledging ^xvbg+++xvbg+=acknowledging
shame ^nn++++=shame
and ^cc++++=and
are ^vb+ber+vrb++=are
therefore ^rb+cnj+++=therefore
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
develop ^vbi++++=develop
solidarity ^nn++++=solidarity
and ^cc++++=and
a ^at++++=a
stable ^jj+atrb+++=stable
social ^jj+atrb+++=social
bond ^nn++++=bond
between ^in++++=between
the ^ati++++=the
therapist ^nn+++??+=therapist
and ^cc++++=and
the ^ati++++=the
client ^nn++++=client.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
both ^abx++++=both
therapies ^nns+++??+=therapies
are ^vb+ber+aux++=are
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
their ^pp$+pp3+++=their
different ^jj+atrb+++=different
organizational ^jj+atrb+++=organizational
prerequisites ^nns+++??+=prerequisites,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
still ^rb+atrb+++=still
large ^jj+atrb+++=large
room ^nn++++=room
for ^in++++=for
maneuvers ^nns+++??+=maneuvers
to ^to++++=to
foster ^vbi++++=foster
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
a ^at++++=a
stable ^jj+atrb+++=stable
social ^jj+atrb+++=social
bond ^nn++++=bond,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
when ^wrb+who+++=when
it ^pp3+it+++=it
comes ^vbz++++=comes
to ^to++++=to
increasing ^vbi++++=increasing
the ^ati++++=the
proportion ^nn++++=proportion
of ^in++++=of
individual ^jj+atrb+++=individual
psychotherapy ^nn++++=psychotherapy.
. ^zz++++=EXTRAWORD
