By ^in++++=By
discussing ^xvbg+++xvbg+=discussing
various ^jj+atrb+++=various
ways ^nns++++=ways
to ^to++++=to
bring ^vbi++++=bring
individuals ^nns+nom+++=individuals
from ^in++++=from
different ^jj+atrb+++=different
groups ^nns++++=groups
into ^in++++=into
contact ^nn++++=contact,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
explicitly ^rb++++=explicitly
address ^nns+nom+++=address
a ^at++++=a
shortcoming ^nn++++=shortcoming
of ^in++++=of
previous ^jj+atrb+++=previous
work ^nn++++=work
in ^in++++=in
the ^ati++++=the
field ^nn++++=field
anecdotally ^rb++++=anecdotally
referred ^vbd+++xvbn+=referred
to ^in++++=to
as ^ql++++=as
the ^ati++++=the
leading ^jj+++xvbg+=leading-the-horses-to-water
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
horses ^nns++++=EXTRAWORD
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
water ^nn++++=EXTRAWORD
problem ^nn++++=problem
( ^zz++++=(Pettigrew
pettigrew ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
278 ^cd++++=278).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Pettigrew ^np+++??+=Pettigrew
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
argued ^vpbn+vpub++xvbn+=argued
that ^tht+vcmp+++=that
practically ^rb+down+++=practically
relevant ^jj+atrb+++=relevant
intergroup ^nn+++??+=intergroup
contact ^nn++++=contact
research ^nn++++=research
should ^md+nec+++=should
not ^xnot++not++=not
solely ^rb++++=solely
focus ^vb++++=focus
on ^in++++=on
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
contact ^nn++++=contact,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
on ^in++++=on
the ^ati++++=the
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
one ^cd1++++=one
can ^md+pos+++=can
bring ^vb++++=bring
past ^jjb+atrb+++=past
adversaries ^nns++++=adversaries
together ^nn+nom+++=together
in ^in++++=in
optimal ^jj+atrb+++=optimal
contact ^nn++++=contact
situations ^nns+nom+++=situations.
. ^zz++++=EXTRAWORD
