Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
56 ^cd++++=56%
% ^zz++++=EXTRAWORD
of ^in++++=of
internet ^nn+++??+=internet
users ^nns++++=users
regularly ^rb++++=regularly
request ^nn++++=request
online ^nn+++??+=online
services ^nns++++=services.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
32 ^cd++++=32%
% ^zz++++=EXTRAWORD
request ^nn++++=request
transportation ^nn+nom+++=transportation
services ^nns++++=services,
, ^zz++++=EXTRAWORD
28 ^cd++++=28%
% ^zz++++=EXTRAWORD
use ^nn++++=use
movie ^nn++++=movie-streaming
- ^zz++++=EXTRAWORD
streaming ^vbg+++xvbg+=EXTRAWORD
platforms ^nns++++=platforms,
, ^zz++++=EXTRAWORD
12 ^cd++++=12%
% ^zz++++=EXTRAWORD
request ^nn++++=request
meal ^nn++++=meal
delivery ^nn+nom+++=delivery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
6 ^zz++++=6%
% ^zz++++=EXTRAWORD
enroll ^nn+++??+=enroll
in ^in++++=in
paid ^jj+atrb++xvbn+=paid
courses ^nns++++=courses,
, ^zz++++=EXTRAWORD
with ^in++++=with
additional ^jj+atrb+++=additional
services ^nns++++=services
accounting ^nn++++=accounting
for ^in++++=for
the ^ati++++=the
remaining ^jj+atrb+++=remaining
percentage ^nn+nom+++=percentage.
. ^zz++++=EXTRAWORD
