Prior ^in+cmpx+++=Prior
to ^in"++++=to
the ^ati++++=the
practical ^jj+atrb+++=practical
component ^nn++++=component
of ^in++++=of
the ^ati++++=the
class ^nn++++=class,
, ^zz++++=EXTRAWORD
Sandro ^np+++??+=Sandro
or ^cc++++=or
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
students ^nns++++=students
plays ^vbz++++=plays
recorded ^vbd+vpub++xvbn+=recorded
capoeira ^nn+++??+=capoeira
music ^nn++++=music.
. ^zz++++=EXTRAWORD
The ^ati++++=The
practical ^jj+atrb+++=practical
session ^nn++++=session
sometimes ^rb++++=sometimes
begins ^vbz++++=begins
with ^in++++=with
a ^at++++=a
warm ^jj++++=warm-up,
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
, ^zz++++=EXTRAWORD
during ^in++++=during
which ^whp+rel+pied++=which
students ^nns++++=students
individually ^rb++++=individually
perform ^vb++++=perform
ginga ^jj+atrb++??+=ginga
movements ^nns+nom+++=movements
while ^cs+sub+++=while
following ^jj+++xvbg+=following
Sandro ^np+++??+=Sandro
and ^cc++++=and
facing ^vbg+++xvbg+=facing
the ^ati++++=the
same ^ap++++=same
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
A ^at++++=A
significant ^jj+atrb+++=significant
portion ^nn+nom+++=portion
of ^in++++=of
the ^ati++++=the
session ^nn++++=session
is ^vbz+bez+aux++=is
also ^rb++splt++=also
dedicated ^vpsv++agls+xvbnx+=dedicated
to ^to++++=to
practicing ^vbi++++=practicing
in ^in++++=in
pairs ^nns++++=pairs.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
practical ^jj+atrb+++=practical
part ^nn++++=part
of ^in++++=of
Sandro ^np+++??+=Sandro
s ^zz++++=s
classes ^nns++++=classes,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
noticeable ^jj+atrb+++=noticeable
shift ^nn++++=shift
from ^in++++=from
the ^ati++++=the
predominantly ^rb++++=predominantly
verbal ^jj+atrb+++=verbal
communication ^nn+nom+++=communication
characteristic ^nn++++=characteristic
of ^in++++=of
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
component ^nn++++=component
to ^to++++=to
increased ^vbi++++=increased
reliance ^nn+nom+++=reliance
on ^in++++=on
communication ^nn+nom+++=communication
through ^in++++=through
physical ^jj+atrb+++=physical
movement ^nn+nom+++=movement,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
consistently ^rb++splt++=consistently
synchronized ^vpsv++agls+xvbnx+=synchronized
with ^in++++=with
the ^ati++++=the
rhythm ^nn++++=rhythm
of ^in++++=of
the ^ati++++=the
music ^nn++++=music.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
spoken ^jj+atrb++xvbn+=spoken
communication ^nn+nom+++=communication
is ^vbz+bez+aux++=is
used ^vpsv++agls+xvbnx+=used,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
primarily ^rb+down+++=primarily
serves ^vbz++++=serves
instructional ^jj+atrb+++=instructional
purposes ^nns++++=purposes
and ^cc++++=and
is ^vbz+bez+aux++=is
frequently ^rb++splt++=frequently
accompanied ^vpsv++by+xvbnx+=accompanied
by ^in++++=by
demonstrations ^nns+nom+++=demonstrations
of ^in++++=of
the ^ati++++=the
corresponding ^jj+atrb++xvbg+=corresponding
physical ^jj+atrb+++=physical
movements ^nns+nom+++=movements,
, ^zz++++=EXTRAWORD
facilitating ^vbg+++xvbg+=facilitating
comprehension ^nn++++=comprehension
through ^in++++=through
a ^at++++=a
combination ^nn+nom+++=combination
of ^in++++=of
verbal ^jj++++=verbal
and ^cc++++=and
non ^&fw++++=non-verbal
- ^zz++++=EXTRAWORD
verbal ^jj+atrb+++=EXTRAWORD
cues ^nns+++??+=cues.
. ^zz++++=EXTRAWORD
Exercises ^nns++++=Exercises
are ^vb+ber+aux++=are
segmented ^vpsv++agls+xvbnx+=segmented
into ^in++++=into
smaller ^jjr+atrb+++=smaller
parts ^nns++++=parts
to ^to++++=to
enhance ^nn+nom+++=enhance
clarity ^nn+nom+++=clarity,
, ^zz++++=EXTRAWORD
with ^in++++=with
verbal ^jj+atrb+++=verbal
instructions ^nns+nom+++=instructions
provided ^vbd+vsua++xvbn+=provided
in ^in++++=in
conjunction ^nn+nom+++=conjunction
with ^in++++=with
the ^ati++++=the
physical ^jj+atrb+++=physical
activity ^nn+nom+++=activity.
. ^zz++++=EXTRAWORD
Sandro ^np+++??+=Sandro
s ^zz++++=s
initial ^jj+atrb+++=initial
verbal ^jj+atrb+++=verbal
instruction ^nn+nom+++=instruction
( ^zz++++=(
troca ^nn+++??+=troca
