Consistent ^jj++++=Consistent
with ^in++++=with
Yin ^np++++=Yin's
's ^$++++=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
findings ^nns++++=findings,
, ^zz++++=EXTRAWORD
teachers ^nns+nom+++=teachers
reported ^vbd+vpub++xvbn+=reported
genuine ^jj+atrb+++=genuine
expressions ^nns++++=expressions
of ^in++++=of
negative ^jj+atrb+++=negative
emotion ^nn+nom+++=emotion
in ^in++++=in
response ^nn++++=response
to ^in++++=to
inappropriate ^jj+atrb+++=inappropriate
student ^nn++++=student
behavior ^nn++++=behavior.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
emotional ^jj+atrb+++=emotional
responses ^nns++++=responses
were ^vbd+bed+aux++=were
categorized ^vpsv++agls+xvbnx+=categorized
as ^ql++++=as
either ^dtx++++=either
emotional ^jj+atrb+++=emotional
authenticity ^nn+nom+++=authenticity
or ^cc++++=or
impulsive ^jj+atrb+++=impulsive
reaction ^nn+nom+++=reaction
( ^zz++++=(acting
acting ^vbg+++xvbg+=EXTRAWORD
out ^rp+pl+++=out).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Emotional ^jj+atrb+++=Emotional
authenticity ^nn+nom+++=authenticity
refers ^vbz++++=refers
to ^in++++=to
emotional ^jj+atrb+++=emotional
expressions ^vb++++=expressions
that ^tht+vcmp+subj++=that
are ^vb+ber+vrb++=are
contextually ^rb++++=contextually
appropriate ^jj+pred+++=appropriate
and ^cc++++=and
typically ^rb++++=typically
associated ^vbd+++xvbn+=associated
with ^in++++=with
less ^rbr++++=less
severe ^jj+atrb+++=severe
incidents ^nns++++=incidents,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
cell ^nn++++=cell
phone ^nn++++=phone
misuse ^nn++++=misuse
or ^cc++++=or
side ^nn++++=side
conversations ^nns+nom+++=conversations.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
