Consistent ^jj++++=Consistent
with ^in++++=with
previous ^jj+atrb+++=previous
research ^nn++++=research,
, ^zz++++=EXTRAWORD
situation ^nn+nom+++=situation
modification ^nn+nom+++=modification
was ^vbd+bedz+aux++=was
primarily ^rb+down+splt++=primarily
employed ^vpsv++agls+xvbnx+=employed
to ^in++++=to
address ^nns+nom+++=address
inappropriate ^jj+atrb+++=inappropriate
behavior ^nn++++=behavior
( ^zz++++=(Chang
chang ^nn+++??+=EXTRAWORD
& ^zz++++=&
Daves ^np+++??+=Daves,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
Sutton ^np++++=Sutton,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
Taxer ^np+++??+=Taxer
& ^zz++++=&
Gross ^jj++++=Gross,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
demotivation ^nn+nom+++=demotivation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
learning ^nvbg+++xvbg+=learning
difficulties ^nns++++=difficulties
( ^zz++++=(Akbari
akbari ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
Sutton ^np++++=Sutton,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
Yin ^np+++??+=Yin,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Evidence ^nn+nom+++=Evidence
suggests ^vbz+vpub+tht0++=suggests
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
by ^in++++=by
anticipating ^xvbg+++xvbg+=anticipating
potentially ^rb++++=potentially
adverse ^jj+atrb+++=adverse
situations ^nns+nom+++=situations,
, ^zz++++=EXTRAWORD
teachers ^nns+nom+++=teachers
engage ^vb++++=engage
in ^in++++=in
strategies ^nns+++??+=strategies
that ^tht+rel+subj++=that
reduce ^vb++++=reduce
negative ^jj+atrb+++=negative
emotions ^nns+nom+++=emotions
in ^in++++=in
themselves ^ppls+pp3+++=themselves
( ^zz++++=(self-regulation)
self ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
regulation ^nn+nom+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
in ^in++++=in
students ^nns++++=students
( ^zz++++=(hetero-regulation)
hetero ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
regulation ^nn+nom+++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Buri
buri ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Taxer ^np+++??+=Taxer
& ^zz++++=&
Gross ^jj++++=Gross,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
minimizing ^vbg+++xvbg+=minimizing
the ^ati++++=the
likelihood ^nn+nom+++=likelihood
of ^in++++=of
unnecessary ^jj+atrb+++=unnecessary
conflicts ^nns++++=conflicts
and ^cc++++=and
classroom ^nn++++=classroom
disruptions ^nns+nom+++=disruptions
( ^zz++++=(Sutton,
sutton ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
