More ^rbr++++=More
than ^in++++=than
90 ^cd++++=90%
% ^zz++++=EXTRAWORD
of ^in++++=of
Brazilians ^np+++??+=Brazilians'
' ^zz++++=EXTRAWORD
use ^nn++++=use
of ^in++++=of
digital ^jj+atrb+++=digital
information ^nn+nom+++=information
and ^cc++++=and
communication ^nn+nom+++=communication
technologies ^nns+++??+=technologies
( ^zz++++=(DICT)
dict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
everyday ^jjb+atrb+++=everyday
activities ^nns+nom+++=activities,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
limited ^vwbn+++xvbn+=limited
to ^in++++=to
instant ^nn+nom+++=instant
messaging ^vwbg+++xvbg+=messaging
and ^cc++++=and
social ^jj+atrb+++=social
media ^nns++++=media
posting ^vwbg+++xvbg+=posting
( ^zz++++=(CGI.br,
cgi.br ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2019a ^cd++++=2019a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
pattern ^nn++++=pattern
is ^vbz+bez+aux++=is
closely ^rb++splt++=closely
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
the ^ati++++=the
widespread ^jj+atrb+++=widespread
use ^nn++++=use
of ^in++++=of
mobile ^jj+atrb+++=mobile
phones ^nns++++=phones
and ^cc++++=and
does ^vbz+doz+aux++=does
not ^xnot++not++=not
necessarily ^rb++++=necessarily
indicate ^nn+nom+++=indicate
adequate ^jj+atrb+++=adequate
technical ^jj+atrb+++=technical
proficiency ^nn++++=proficiency
or ^cc++++=or
contribute ^vb++++=contribute
significantly ^rb++++=significantly
to ^in++++=to
the ^ati++++=the
comprehensive ^jj+atrb+++=comprehensive
intellectual ^jj+atrb+++=intellectual
development ^nn+nom+++=development
of ^in++++=of
individuals ^nns+nom+++=individuals.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
access ^nn++++=access
to ^in++++=to
mobile ^jj+atrb+++=mobile
phones ^nns++++=phones
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
interpreted ^vpsv++agls+xvbnx+=interpreted
as ^ql++++=as
evidence ^nn+nom+++=evidence
of ^in++++=of
progress ^nns+nom+++=progress
in ^in++++=in
information ^nn+nom+++=information
technology ^nn++++=technology
skills ^nns++++=skills,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
should ^md+nec+++=should
it ^pp3+it+++=it
be ^vb+be+aux++=be
assumed ^vpsv++agls+xvbnx+=assumed
to ^to+vcmp+++=to
reflect ^vbi+vprv+++=reflect
a ^at++++=a
substantive ^jj+atrb+++=substantive
understanding ^nn++++=understanding
of ^in++++=of
the ^ati++++=the
devices ^nns++++=devices'
' ^zz++++=EXTRAWORD
functionalities ^nns+nom+++=functionalities.
. ^zz++++=EXTRAWORD
