According ^in+cmpx+++=According
to ^in++++=to
Ibge ^np+++??+=IBGE
surveys ^nns++++=surveys
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
33 ^cd++++=33%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
population ^nn+nom+++=population
experiences ^nns+nom+++=experiences
some ^dti++++=some
form ^nn++++=form
of ^in++++=of
digital ^jj+atrb+++=digital
exclusion ^nn++++=exclusion.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
this ^dt+pdem+++=this
represents ^vbz++++=represents
an ^at++++=an
improvement ^nn+nom+++=improvement
compared ^vbd+++xvbn+=compared
to ^to++++=to
2009 ^cd++++=2009,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
only ^rb+down+++=only
39 ^cd++++=39%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
population ^nn+nom+++=population
had ^vb+hv+vrb++=had
Internet ^np+++??+=Internet
access ^nn++++=access,
, ^zz++++=EXTRAWORD
a ^at++++=a
detailed ^jj+atrb+++=detailed
analysis ^nn++++=analysis
of ^in++++=of
current ^jj+atrb+++=current
data ^nns++++=data
reveals ^nns+nom+++=reveals
persistent ^jj+atrb+++=persistent
disparities ^nns+nom+++=disparities.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
of ^in++++=of
individuals ^nns+nom+++=individuals
in ^in++++=in
socioeconomic ^jj+atrb+++=socioeconomic
classes ^nns++++=classes
D ^zz++++=D
and ^cc++++=and
E ^zz++++=E
lack ^nn++++=lack
Internet ^np+++??+=Internet
access ^nn++++=access,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
over ^in++++=over
90 ^cd++++=90%
% ^zz++++=EXTRAWORD
of ^in++++=of
those ^dt+dem+++=those
in ^in++++=in
classes ^nns++++=classes
A ^at++++=A
and ^cc++++=and
B ^zz++++=B
are ^vb+ber+aux++=are
connected ^vpsv++agls+xvbnx+=connected
( ^zz++++=(CGI.br,
cgi.br ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2019a ^cd++++=2019a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
data ^nns++++=data
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
digital ^nn++++=digital
divide ^vb++++=divide
in ^in++++=in
Brazil ^np++++=Brazil
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
socioeconomic ^jj+atrb+++=socioeconomic
factors ^nns++++=factors
rather ^rb++++=rather
than ^in++++=than
generational ^jj+atrb+++=generational
differences ^nns+nom+++=differences
in ^in++++=in
exposure ^nn++++=exposure
to ^in++++=to
information ^nn+nom+++=information
and ^cc++++=and
communication ^nn+nom+++=communication
technologies ^nns+++??+=technologies
( ^zz++++=(ICT).
ict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
individuals ^nns+nom+++=individuals
classified ^vwbn+++xvbn+=classified
as ^ql++++=as
digital ^jj+atrb+++=digital
natives ^nns++++=natives
may ^md+pos+++=may
have ^vb+hv+vrb++=have
certain ^jj+atrb+++=certain
advantages ^nns+nom+++=advantages,
, ^zz++++=EXTRAWORD
digital ^jj+atrb+++=digital
exclusion ^nn++++=exclusion
is ^vbz+bez+aux++=is
more ^rbr++splt++=more
strongly ^rb+amp+++=strongly
linked ^vbd+++xvbn+=linked
to ^in++++=to
unequal ^jj+atrb+++=unequal
access ^nn++++=access
to ^in++++=to
digital ^jj+atrb+++=digital
devices ^nns++++=devices
and ^cc++++=and
educational ^jj+atrb+++=educational
opportunities ^nns+nom+++=opportunities
related ^vbd+++xvbn+=related
to ^in++++=to
their ^pp$+pp3+++=their
use ^nn++++=use
( ^zz++++=(Concei
concei ^nn+++??+=EXTRAWORD
o ^zz++++=o,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
krug ^np++++=Krug
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
