To ^in++++=To
address ^nns+nom+++=address
the ^ati++++=the
first ^od++++=first
research ^nn++++=research
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
the ^ati++++=the
entire ^jjb+atrb+++=entire
dataset ^nn+++??+=dataset.
. ^zz++++=EXTRAWORD
Group ^nn++++=Group
talk ^nn++++=talk
was ^vbd+bedz+aux++=was
examined ^vpsv++agls+xvbnx+=examined
in ^in++++=in
aggregate ^nn+nom+++=aggregate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
relative ^jj+atrb+++=relative
code ^nn++++=code
frequencies ^nns++++=frequencies
were ^vbd+bed+aux++=were
calculated ^vpsv++by+xvbnx+=calculated
by ^in++++=by
dividing ^xvbg+++xvbg+=dividing
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
content ^nn++++=content-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
utterances ^nns+nom+++=utterances
( ^zz++++=(codes
codes ^nns++++=EXTRAWORD
1 ^zz++++=1
to ^to++++=to
6 ^zz++++=6),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
instruction ^nn+nom+++=instruction-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
utterances ^nns+nom+++=utterances
( ^zz++++=(code
code ^nn++++=EXTRAWORD
7 ^zz++++=7),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
off ^rp+pl+++=off-topic
- ^zz++++=EXTRAWORD
topic ^nn++++=EXTRAWORD
utterances ^nns+nom+++=utterances
( ^zz++++=(code
code ^nn++++=EXTRAWORD
8 ^zz++++=8)
) ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
utterances ^nns+nom+++=utterances.
. ^zz++++=EXTRAWORD
As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Figure ^nn++++=Figure
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
groups ^nns++++=groups
devoted ^vbd+++xvbn+=devoted
approximately ^rb+down+++=approximately
56 ^cd++++=56%
% ^zz++++=EXTRAWORD
of ^in++++=of
their ^pp$+pp3+++=their
utterances ^nns+nom+++=utterances
to ^in++++=to
content ^nn++++=content-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
discussion ^nn++++=discussion,
, ^zz++++=EXTRAWORD
25 ^cd++++=25%
% ^zz++++=EXTRAWORD
to ^to++++=to
negotiating ^vbi++++=negotiating
task ^nn++++=task
instructions ^nns+nom+++=instructions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
19 ^cd++++=19%
% ^zz++++=EXTRAWORD
to ^to++++=to
off ^rp+pl+++=off-topic
- ^zz++++=EXTRAWORD
topic ^nn++++=EXTRAWORD
conversation ^nn+nom+++=conversation.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
about ^in++++=about
half ^abn++++=half
of ^in++++=of
the ^ati++++=the
group ^nn++++=group
work ^nn++++=work
focused ^vbd+++xvbn+=focused
on ^in++++=on
content ^nn++++=content,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
type ^nn++++=type
of ^in++++=of
discourse ^nn++++=discourse
most ^ql+emph+++=most
directly ^rb++++=directly
associated ^vpsv++agls+xvbn+=associated
with ^in++++=with
conceptual ^jj++++=conceptual
and ^cc++++=and
disciplinary ^nn+nom+++=disciplinary
learning ^vbg+vprv++xvbg+=learning
gains ^vbz++++=gains.
. ^zz++++=EXTRAWORD
