Demultiplexing ^np+++??+=Demultiplexing
errors ^nns++++=errors
may ^md+pos+++=may
occur ^vb++++=occur
during ^in++++=during
multiplexed ^jj+++xvbn+=multiplexed
sequencing ^xvbg+++xvbg+=sequencing
runs ^vbz++++=runs,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
the ^ati++++=the
misassignment ^nn+nom+++=misassignment
of ^in++++=of
reads ^nn++++=reads
from ^in++++=from
one ^cd1++++=one
barcode ^nn+++??+=barcode
to ^in++++=to
another ^dt++++=another
and ^cc++++=and
resulting ^jj+++xvbg+=resulting
in ^in++++=in
low ^jj++++=low-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
contamination ^nn+nom+++=contamination.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
a ^at++++=a
sequence ^nn+nom+++=sequence
associated ^vbd+++xvbn+=associated
with ^in++++=with
a ^at++++=a
particular ^jj+atrb+++=particular
barcode ^nn+++??+=barcode
is ^vbz+bez+aux++=is
present ^vb++++=present
at ^rb++++=at
very ^ql+amp+++=very
high ^np++++=high
depth ^nn++++=depth,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
appear ^vb+seem+++=appear
in ^in++++=in
other ^ap++++=other
barcodes ^nns+++??+=barcodes
at ^rb++++=at
sufficient ^jj+atrb+++=sufficient
coverage ^nn+nom+++=coverage
to ^to++++=to
allow ^vbi++++=allow
assembly ^nn++++=assembly.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
phenomenon ^nn++++=phenomenon
is ^vbz+bez+aux++=is
most ^ql+emph+++=most
frequently ^rb++++=frequently
observed ^vbd+vprv++xvbn+=observed
with ^in++++=with
high ^jj++++=high-copy-number
- ^zz++++=EXTRAWORD
copy ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
number ^nn++++=EXTRAWORD
plasmids ^nns+++??+=plasmids
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2d ^cd++++=2D).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
multiple ^jj+atrb+++=multiple
genome ^nn+++??+=genome
assemblies ^nns++++=assemblies
from ^in++++=from
the ^ati++++=the
same ^ap++++=same
sequencing ^xvbg+++xvbg+=sequencing
run ^vwbn+++xvbn+=run
contain ^vb++++=contain
identical ^jj+atrb+++=identical
plasmids ^nns+++??+=plasmids,
, ^zz++++=EXTRAWORD
cross ^jj++++=cross-barcode
- ^zz++++=EXTRAWORD
barcode ^nn+++??+=EXTRAWORD
contamination ^nn+nom+++=contamination
should ^md+nec+++=should
be ^vb+be+aux++=be
considered ^vbd+vprv++xvbn+=considered
as ^ql++++=as
a ^at++++=a
potential ^jj+atrb+++=potential
explanation ^nn+nom+++=explanation.
. ^zz++++=EXTRAWORD
