With ^in++++=With
regard ^nn++++=regard
to ^in++++=to
evaluation ^nn+nom+++=evaluation,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
this ^dt+dem+++=this
topic ^nn++++=topic
is ^vbz+bez+aux++=is
currently ^rb++splt++=currently
undergoing ^vbg+++xvbgx+=undergoing
updates ^nns+nom+++=updates
in ^in++++=in
Cuba ^np++++=Cuba
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
in ^in++++=in
other ^ap++++=other
regions ^nns++++=regions
of ^in++++=of
Latin ^jj+atrb+++=Latin
America ^np++++=America.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
authors ^nns++++=authors
from ^in++++=from
the ^ati++++=the
region ^nn++++=region
emphasize ^vb++++=emphasize
the ^ati++++=the
necessity ^nn+nom+++=necessity
of ^in++++=of
reviewing ^xvbg+++xvbg+=reviewing
evaluation ^nn+nom+++=evaluation
practices ^nns++++=practices
in ^in++++=in
preschool ^nn+++??+=preschool
children ^nns++++=children,
, ^zz++++=EXTRAWORD
highlighting ^jj+++xvbg+=highlighting
its ^pp$+it+++=its
significance ^nn+nom+++=significance
in ^in++++=in
guiding ^xvbg+++xvbg+=guiding
the ^ati++++=the
educational ^jj+atrb+++=educational
process ^nns+nom+++=process
and ^cc++++=and
preparing ^jj+atrb++xvbg+=preparing
children ^nns++++=children
for ^in++++=for
subsequent ^jj+atrb+++=subsequent
educational ^jj+atrb+++=educational
stages ^nns++++=stages.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
authors ^nns++++=authors
describe ^vb++++=describe
evaluation ^nn+nom+++=evaluation
in ^in++++=in
the ^ati++++=the
preschool ^nn+++??+=preschool
educational ^jj+atrb+++=educational
process ^nns+nom+++=process
as ^in++++=as
a ^at++++=a
reflective ^jj++++=reflective,
, ^zz++++=EXTRAWORD
systematic ^jj++++=systematic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rigorous ^jj+atrb+++=rigorous
process ^nns+nom+++=process
of ^in++++=of
inquiry ^nn++++=inquiry
that ^tht+rel+subj++=that
informs ^vbz++++=informs
decision ^nn++++=decision
making ^nn++++=making.
. ^zz++++=EXTRAWORD
