With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
seed ^nns++++=seed
storage ^nn+nom+++=storage
behavior ^nn++++=behavior,
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
C ^zz++++=C.
. ^zz++++=EXTRAWORD
alba ^nn+++??+=alba
Morong ^np+++??+=Morong
seeds ^nns++++=seeds
may ^md+pos+++=may
be ^vb+be+aux++=be
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
desiccation ^nn+nom+++=desiccation-tolerant
- ^zz++++=EXTRAWORD
tolerant ^jj++++=EXTRAWORD
( ^zz++++=(orthodox),
orthodox ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
indicated ^nn++++=indicated
by ^in++++=by
their ^pp$+pp3+++=their
low ^jj+atrb+++=low
water ^nn++++=water
content ^nn++++=content
( ^zz++++=(ranging
ranging ^vbg+++xvbg+=EXTRAWORD
from ^in++++=from
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
to ^to++++=to
7 ^zz++++=7%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
maintenance ^nn+nom+++=maintenance
of ^in++++=of
moderate ^jj+atrb+++=moderate
germination ^nn+nom+++=germination
percentages ^nns+nom+++=percentages
following ^vwbg+++xvbg+=following
storage ^nn+nom+++=storage.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Hong ^np++++=Hong
and ^cc++++=and
Ellis ^np++++=Ellis
( ^zz++++=(1996),
1996 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
orthodox ^jj+atrb+++=orthodox
seeds ^nns++++=seeds
are ^vb+ber+aux++=are
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
those ^dt+dem+++=those
capable ^jj++++=capable
of ^in++++=of
tolerating ^xvbg+++xvbg+=tolerating
desiccation ^nn+nom+++=desiccation
to ^in++++=to
a ^at++++=a
moisture ^nn++++=moisture
content ^nn++++=content
of ^in++++=of
12 ^cd++++=12%
% ^zz++++=EXTRAWORD
and ^cc++++=and
remaining ^jj+++xvbg+=remaining
viable ^jj++++=viable
for ^in++++=for
up ^rp++++=up
to ^to++++=to
12 ^cd++++=12
months ^nns++++=months
of ^in++++=of
storage ^nn+nom+++=storage.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
authors ^nns++++=authors
also ^rb++++=also
emphasize ^vb++++=emphasize
the ^ati++++=the
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
assess ^vb++++=assess
seed ^nn++++=seed
survival ^nn+nom+++=survival
under ^in++++=under
various ^jj+atrb+++=various
storage ^nn+nom+++=storage
conditions ^nns+nom+++=conditions,
, ^zz++++=EXTRAWORD
including ^in++++=including
lower ^jjr+atrb+++=lower
temperatures ^nns++++=temperatures
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
- ^zz++++=-20
20 ^cd++++=EXTRAWORD
C ^zz++++=C),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
to ^to++++=to
determine ^vbi++++=determine
whether ^cs+who+++=whether
seeds ^nns++++=seeds
exhibit ^vb++++=exhibit
intermediate ^jj++++=intermediate
rather ^rb++++=rather
than ^in++++=than
orthodox ^jj+atrb+++=orthodox
storage ^nn+nom+++=storage
behavior ^nn++++=behavior.
. ^zz++++=EXTRAWORD
Recent ^jj+atrb+++=Recent
studies ^nns++++=studies
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
that ^tht+vcmp+++=that
certain ^jj+atrb+++=certain
tropical ^jj+atrb+++=tropical
Arecaceae ^np+++??+=Arecaceae
species ^nns++++=species
produce ^vb++++=produce
