Conclusions ^nns++++=Conclusions:
: ^zz++++=EXTRAWORD
Topical ^jj++++=Topical
therapies ^vbz+++??+=therapies
applied ^vbd+++xvbn+=applied
to ^in++++=to
malignant ^jj+atrb+++=malignant
fungating ^jj+atrb++xvbg+=fungating
wounds ^nns++++=wounds
or ^cc++++=or
periwound ^nn+++??+=periwound
areas ^nns++++=areas
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
investigated ^vpsv++agls+xvbnx+=investigated
for ^in++++=for
pain ^nn++++=pain
management ^nn+nom+++=management;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
effectiveness ^nns+nom+++=effectiveness
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
evaluated ^vpsv++agls+xvbnx+=evaluated
in ^in++++=in
only ^rb+down+++=only
a ^at++++=a
limited ^jj+atrb++xvbn+=limited
number ^nn++++=number
of ^in++++=of
interventional ^jj+atrb+++=interventional
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
highlights ^vbz++++=highlights
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
additional ^jj+atrb+++=additional
primary ^jj+atrb+++=primary
research ^nn++++=research
to ^to++++=to
support ^vbi++++=support
evidence ^nn+nom+++=evidence-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
clinical ^jj+atrb+++=clinical
practice ^nn++++=practice.
. ^zz++++=EXTRAWORD
