Twenty ^cd++++=Twenty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
strategies ^nns+++??+=strategies
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified,
, ^zz++++=EXTRAWORD
each ^dt++++=each
further ^jjb++++=further
categorized ^jj+++xvbn+=categorized
into ^in++++=into
specific ^jj+atrb+++=specific
tactics ^nns++++=tactics,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
concrete ^jj+atrb+++=concrete
actions ^nns+nom+++=actions
that ^tht+rel+subj++=that
operationalize ^vb++++=operationalize
these ^dt+dem+++=these
strategies ^nns+++??+=strategies.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
strategies ^nns+++??+=strategies
and ^cc++++=and
tactics ^nns++++=tactics
were ^vbd+bed+aux++=were
adopted ^vpsv++by+xvbnx+=adopted
by ^in++++=by
teachers ^nns+nom+++=teachers
in ^in++++=in
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
emotional ^jj+atrb+++=emotional
demands ^nns++++=demands
of ^in++++=of
the ^ati++++=the
classroom ^nn++++=classroom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
both ^abx++++=both
emotions ^nns+nom+++=emotions
and ^cc++++=and
strategies ^nns+++??+=strategies
is ^vbz+bez+aux++=is
presented ^vpsv++agls+xvbnx+=presented
in ^in++++=in
Table ^nn++++=Table
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
The ^ati++++=The
discussion ^nn++++=discussion
section ^nn+nom+++=section
examines ^vbz++++=examines
and ^cc+phrs+++=and
relates ^nns+nom+++=relates
these ^dt+dem+++=these
dimensions ^nns++++=dimensions,
, ^zz++++=EXTRAWORD
offering ^vbg+++xvbg+=offering
a ^at++++=a
contextual ^jj+atrb+++=contextual
framework ^nn++++=framework
for ^in++++=for
understanding ^nn++++=understanding
teacher ^nn++++=teacher
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation.
. ^zz++++=EXTRAWORD
