Compared ^vbd+++xvbn+=Compared
to ^in++++=to
eukaryotes ^nns+++??+=eukaryotes,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
possess ^nns+nom+++=possess
complex ^jj+atrb+++=complex
genomes ^nns+++??+=genomes
often ^rb++++=often
exceeding ^vbg+++xvbg+=exceeding
one ^cd1++++=one
billion ^cd++++=billion
base ^nn++++=base
pairs ^nns++++=pairs
( ^zz++++=(bp)
bp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
length ^nn++++=length,
, ^zz++++=EXTRAWORD
prokaryotic ^jj+atrb+++=prokaryotic
genomes ^nns+++??+=genomes
are ^vb+ber+vrb++=are
relatively ^rb++++=relatively
small ^jj+pred+++=small,
, ^zz++++=EXTRAWORD
typically ^rb++++=typically
consisting ^vbg+++xvbg+=consisting
of ^in++++=of
a ^at++++=a
single ^jj+atrb+++=single
circular ^jj+atrb+++=circular
chromosome ^nn++++=chromosome
of ^in++++=of
a ^ap++++=a
few ^ap"++++=few
million ^cd++++=million
bp ^nn+++??+=bp
and ^cc++++=and
often ^rb++++=often
including ^in++++=including
small ^jj+atrb+++=small
extrachromosomal ^jj+atrb+++=extrachromosomal
plasmids ^nns+++??+=plasmids.
. ^zz++++=EXTRAWORD
In ^in++++=In
many ^ap++++=many
genomic ^nn++++=genomic
applications ^nns+nom+++=applications,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
desirable ^jj+pred+++=desirable
to ^to+jcmp+++=to
obtain ^vbi++++=obtain
the ^ati++++=the
complete ^jj+atrb+++=complete
bacterial ^jj+atrb+++=bacterial
genome ^nn+++??+=genome
sequence ^nn+nom+++=sequence,
, ^zz++++=EXTRAWORD
defined ^vpbn+vprv++xvbn+=defined
as ^ql++++=as
the ^ati++++=the
full ^jj+atrb+++=full
nucleotide ^nn+++??+=nucleotide
sequence ^nn+nom+++=sequence
of ^in++++=of
each ^ppls++++=each
Dna ^np+++??+=DNA
molecule ^nn+++??+=molecule
present ^vb++++=present
in ^in++++=in
the ^ati++++=the
cell ^nn++++=cell.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
current ^jj+atrb+++=current
Dna ^np+++??+=DNA
sequencing ^vwbg+++xvbg+=sequencing
technologies ^nns+++??+=technologies
operate ^nn+nom+++=operate
by ^in++++=by
fragmenting ^xvbg+++xvbg+=fragmenting
the ^ati++++=the
genome ^nn+++??+=genome
and ^cc++++=and
sequencing ^nvbg+++xvbg+=sequencing
these ^dt+dem+++=these
fragments ^nns+nom+++=fragments,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
reads ^vbz++++=reads
that ^dt+pdem+++=that
are ^vb+ber+vrb++=are
short ^jj+pred+++=short,
, ^zz++++=EXTRAWORD
randomly ^rb++++=randomly
ordered ^jj+atrb++xvbn+=ordered
segments ^nns+nom+++=segments
of ^in++++=of
the ^ati++++=the
genome ^nn+++??+=genome.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
reads ^nns++++=reads
are ^vb+ber+vrb++=are
subject ^nn++++=subject
to ^in++++=to
errors ^nns++++=errors,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
frequency ^nn++++=frequency
and ^cc++++=and
type ^nn++++=type
of ^in++++=of
errors ^nns++++=errors
varying ^vwbg+++xvbg+=varying
by ^in++++=by
sequencing ^xvbg+++xvbg+=sequencing
platform ^nn++++=platform,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+vrb++=are
also ^rb++++=also
redundant ^jj+pred+++=redundant,
, ^zz++++=EXTRAWORD
as ^ql++++=as
sequencing ^jj+atrb++xvbg+=sequencing
protocols ^nns++++=protocols
require ^vb+vsua+++=require
generating ^nvbg+++xvbg+=generating
a ^at++++=a
total ^nn++++=total
read ^vbd+vprv++xvbn+=read
output ^nn++++=output
that ^tht+rel+subj++=that
greatly ^rb+amp+++=greatly
exceeds ^vbz++++=exceeds
the ^ati++++=the
genome ^nn+++??+=genome
size ^nn++++=size
to ^to++++=to
achieve ^vbi++++=achieve
sufficient ^jj+atrb+++=sufficient
coverage ^nn+nom+++=coverage.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
discrepancy ^nn++++=discrepancy
between ^in++++=between
the ^ati++++=the
output ^nn++++=output
of ^in++++=of
sequencing ^xvbg+++xvbg+=sequencing
technologies ^nns+++??+=technologies,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
provide ^vb+vsua+++=provide
short ^jj++++=short,
, ^zz++++=EXTRAWORD
imperfect ^jj++++=imperfect,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
redundant ^jj+atrb+++=redundant
sequences ^nns+nom+++=sequences,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
obtaining ^vbg+++xvbg+=obtaining
a ^at++++=a
complete ^jj+atrb+++=complete,
, ^zz++++=EXTRAWORD
accurate ^jj+atrb+++=accurate
genome ^nn++++=genome
sequence ^nn+nom+++=sequence.
. ^zz++++=EXTRAWORD
