Two ^cd++++=Two
independent ^jj+atrb+++=independent
experiments ^nns+nom+++=experiments
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
the ^ati++++=the
bromeliad ^nn+++??+=bromeliad
species ^nns++++=species
Aechmea ^np+++??+=Aechmea
distichantha ^nn+++??+=distichantha
and ^cc++++=and
Wittrockia ^np+++??+=Wittrockia
cyathiformis ^nns+++??+=cyathiformis.
. ^zz++++=EXTRAWORD
The ^ati++++=The
experimental ^jj+atrb+++=experimental
design ^nn++++=design
employed ^vbd+++xvbn+=employed
a ^at++++=a
split ^vbd+++xvbn+=split-plot
- ^zz++++=EXTRAWORD
plot ^np++++=EXTRAWORD
arrangement ^nn+nom+++=arrangement
over ^in++++=over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
distributed ^xvbn+++xvbn+=distributed
across ^in+pl+++=across
three ^cd++++=three
blocks ^nns++++=blocks,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
primary ^jj+atrb+++=primary
treatment ^nn+nom+++=treatment
being ^vwbg+beg++xvbg+=being
the ^ati++++=the
mode ^nn++++=mode
of ^in++++=of
relocation ^nn+nom+++=relocation
( ^zz++++=(epiphytic
epiphytic ^jj++++=EXTRAWORD
or ^cc+phrs+++=or
terricolous ^jj++++=terricolous).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
Aechmea ^np+++??+=Aechmea
distichantha ^nn+++??+=distichantha,
, ^zz++++=EXTRAWORD
additional ^jj+atrb+++=additional
independent ^jj+atrb+++=independent
variables ^nns++++=variables
were ^vbd+bed+aux++=were
assessed ^vpsv++agls+xvbnx+=assessed,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
the ^ati++++=the
phenological ^jj+atrb+++=phenological
stage ^nn++++=stage
( ^zz++++=(vegetative
vegetative ^jj++++=EXTRAWORD
or ^cc+phrs+++=or
reproductive ^jj++++=reproductive).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
