Investments ^nns+nom+++=Investments
in ^in++++=in
technological ^jj+atrb+++=technological
infrastructure ^nn+++??+=infrastructure
in ^in++++=in
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
incentives ^nns++++=incentives
for ^in++++=for
students ^nns++++=students
to ^to++++=to
acquire ^vbi++++=acquire
equipment ^nn+nom+++=equipment
and ^cc++++=and
internet ^jj+atrb++??+=internet
access ^nn++++=access,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
teacher ^nn++++=teacher
training ^nn++++=training
in ^in++++=in
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
Ict ^np+++??+=ICT
are ^vb+ber+vrb++=are
not ^xnot++not++=not
commensurate ^jj++++=commensurate
with ^in++++=with
the ^ati++++=the
frequent ^jj+atrb+++=frequent
emphasis ^nn++++=emphasis
on ^in++++=on
the ^ati++++=the
adoption ^nn+nom+++=adoption
of ^in++++=of
Ict ^np+++??+=ICT
and ^cc++++=and
hybrid ^nn++++=hybrid
teaching ^vwbg+++xvbg+=teaching
methods ^nns++++=methods
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
government ^nn+nom+++=government
allocates ^nns+nom+++=allocates
resources ^nns++++=resources
toward ^in++++=toward
the ^ati++++=the
digitalization ^nn+nom+++=digitalization
of ^in++++=of
public ^jj+atrb+++=public
services ^nns++++=services,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
does ^vbz+doz+aux++=does
not ^xnot++not++=not
provide ^vb+vsua+++=provide
sufficient ^jj+atrb+++=sufficient
investment ^nn+nom+++=investment
in ^in++++=in
infrastructure ^nn+++??+=infrastructure
or ^cc++++=or
in ^in++++=in
the ^ati++++=the
development ^nn+nom+++=development
and ^cc++++=and
dissemination ^nn+nom+++=dissemination
of ^in++++=of
digital ^jj+atrb+++=digital
literacy ^nn+nom+++=literacy
among ^in++++=among
the ^ati++++=the
population ^nn+nom+++=population,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
necessary ^jj+pred+++=necessary
for ^in++++=for
effective ^jj+atrb+++=effective
participation ^nn+nom+++=participation
in ^in++++=in
these ^dt+dem+++=these
services ^nns++++=services.
. ^zz++++=EXTRAWORD
Government ^nn+nom+++=Government
investment ^nn+nom+++=investment
tends ^vbz++++=tends
to ^to+vcmp+++=to
prioritize ^vbi++++=prioritize
digitalization ^nn+nom+++=digitalization
initiatives ^nns++++=initiatives
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
reduce ^vbi++++=reduce
public ^jj+atrb+++=public
expenditure ^nn++++=expenditure,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
addressing ^xvbg+++xvbg+=addressing
the ^ati++++=the
needs ^nns++++=needs
of ^in++++=of
the ^ati++++=the
population ^nn+nom+++=population
for ^in++++=for
access ^nn++++=access
and ^cc++++=and
capacity ^nn+nom+++=capacity
building ^nn++++=building.
. ^zz++++=EXTRAWORD
