Given ^vbd+++xvbn+=Given
the ^ati++++=the
interpretivist ^nn+nom+++=interpretivist
orientation ^nn+nom+++=orientation
of ^in++++=of
this ^dt+dem+++=this
analysis ^nn++++=analysis
and ^cc++++=and
the ^ati++++=the
specific ^jj+atrb+++=specific
context ^nn++++=context
of ^in++++=of
the ^ati++++=the
study ^nn++++=study
namely ^rb+cnj+++=namely,
, ^zz++++=EXTRAWORD
primary ^jj+atrb+++=primary
science ^nn+nom+++=science
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
scientific ^jj+atrb+++=scientific
discourse ^nn++++=discourse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
topic ^nn++++=topic
of ^in++++=of
evaporation ^nn+nom+++=evaporation
an ^at++++=an
additional ^jj+atrb+++=additional
analytical ^jj+atrb+++=analytical
framework ^nn++++=framework
was ^vbd+bedz+vrb++=was
necessary ^jj+pred+++=necessary
during ^in++++=during
data ^nns++++=data
examination ^nn+nom+++=examination.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
important ^jj+pred+++=important
to ^to+jcmp+++=to
establish ^vbi+vprv+++=establish
clear ^jj+atrb+++=clear
criteria ^nns++++=criteria
for ^in++++=for
what ^wdt+who+++=what
constitutes ^vbz++++=constitutes
an ^at++++=an
explanation ^nn+nom+++=explanation
in ^in++++=in
classroom ^nn++++=classroom
discourse ^nn++++=discourse
within ^in++++=within
primary ^jj+atrb+++=primary
science ^nn+nom+++=science.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
an ^at++++=an
iterative ^jj+atrb+++=iterative
process ^nns+nom+++=process
involving ^vwbg+++xvbg+=involving
both ^abx++++=both
data ^nns++++=data
and ^cc++++=and
relevant ^jj+atrb+++=relevant
theoretical ^jj+atrb+++=theoretical
perspectives ^nns++++=perspectives,
, ^zz++++=EXTRAWORD
two ^cd++++=two
structural ^jj+atrb+++=structural
dimensions ^nns++++=dimensions
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified:
: ^zz++++=EXTRAWORD
forms ^nns++++=forms
of ^in++++=of
explanation ^nn+nom+++=explanation
and ^cc++++=and
causation ^nn+nom+++=causation
( ^zz++++=(Braaten
braaten ^vb+++xvbn+=EXTRAWORD
& ^zz++++=&
Windschitl ^np+++??+=Windschitl,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analysis ^nn++++=analysis
focused ^vbd+++xvbn+=focused
on ^in++++=on
identifying ^xvbg+++xvbg+=identifying
sequences ^nns+nom+++=sequences
of ^in++++=of
utterances ^nns+nom+++=utterances
that ^tht+rel+subj++=that
represented ^xvbn+++xvbn+=represented
instances ^nns+nom+++=instances
of ^in++++=of
explanation ^nn+nom+++=explanation
( ^zz++++=(including
including ^in++++=EXTRAWORD
definitions ^nns+nom+++=definitions,
, ^zz++++=EXTRAWORD
descriptions ^nns+nom+++=descriptions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reasoning ^nvbg+++xvbg+=reasoning)
) ^zz++++=EXTRAWORD
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
causation ^nn+nom+++=causation
( ^zz++++=(accounts
accounts ^nns++++=EXTRAWORD
that ^tht+rel+++=that
articulate ^jj+atrb+++=articulate
cause ^nn++++=cause-effect
- ^zz++++=EXTRAWORD
effect ^nn++++=EXTRAWORD
relationships ^nns+nom+++=relationships
regarding ^in++++=regarding
observable ^jj+atrb+++=observable
events ^nns++++=events).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Identifying ^jj+++xvbg+=Identifying
such ^abl++++=such
examples ^nns++++=examples
enabled ^vbd+++xvbn+=enabled
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
typologies ^nns+++??+=typologies,
, ^zz++++=EXTRAWORD
facilitated ^xvbn+++xvbn+=facilitated
detailed ^jj+atrb+++=detailed
commentary ^nn+nom+++=commentary
and ^cc++++=and
description ^nn+nom+++=description,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
supported ^vbd+++xvbn+=supported
discussion ^nn++++=discussion
of ^in++++=of
potential ^jj+atrb+++=potential
implications ^nns+nom+++=implications.
. ^zz++++=EXTRAWORD
