With ^in++++=With
regard ^nn++++=regard
to ^in++++=to
criticism ^nn+nom+++=criticism,
, ^zz++++=EXTRAWORD
information ^nn+nom+++=information
and ^cc++++=and
communication ^nn+nom+++=communication
technology ^nn++++=technology
( ^zz++++=(ICT)
ict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
facilitated ^vbd+++xvbn+=facilitated
the ^ati++++=the
examination ^nn+nom+++=examination
of ^in++++=of
various ^jj+atrb+++=various
aspects ^nns++++=aspects,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
experiences ^nns+nom+++=experiences
and ^cc++++=and
beliefs ^nns++++=beliefs
of ^in++++=of
members ^nns+nom+++=members
of ^in++++=of
the ^ati++++=the
global ^jj+atrb+++=global
discourse ^nn++++=discourse
community ^nn+nom+++=community
regarding ^in++++=regarding
the ^ati++++=the
conduct ^nn++++=conduct
and ^cc++++=and
dissemination ^nn+nom+++=dissemination
of ^in++++=of
research ^nn++++=research
in ^in++++=in
computer ^nn+nom+++=computer
science ^nn+nom+++=science.
. ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
enabled ^vbd+++xvbn+=enabled
the ^ati++++=the
teacher ^nn++++=teacher-researcher
- ^zz++++=EXTRAWORD
researcher ^nn+nom+++=EXTRAWORD
to ^to++++=to
identify ^vbi++++=identify
the ^ati++++=the
underlying ^jj+atrb++xvbg+=underlying
causes ^nns++++=causes
of ^in++++=of
the ^ati++++=the
contextual ^jj+atrb+++=contextual
specificities ^nns+nom+++=specificities
observed ^vbd+++xvbn+=observed
and ^cc++++=and
to ^to++++=to
assess ^vbi++++=assess
their ^pp$+pp3+++=their
impact ^nn++++=impact
on ^in++++=on
the ^ati++++=the
engagement ^nn+nom+++=engagement
of ^in++++=of
brazilian ^jj+atrb+++=Brazilian
researchers ^nns+nom+++=researchers
with ^in++++=with
international ^jj+atrb+++=international
peers ^nns++++=peers.
. ^zz++++=EXTRAWORD
