Until ^in++++=Until
2009 ^cd++++=2009,
, ^zz++++=EXTRAWORD
the ^ati++++=the
work ^nn++++=work
of ^in++++=of
linguists ^nns+nom+++=linguists
at ^in++++=at
the ^ati++++=the
Goeldi ^np+++??+=Goeldi
Institute ^npl++++=Institute
generated ^vbd+++xvbn+=generated
a ^at++++=a
substantial ^jj+atrb+++=substantial
and ^cc+phrs+++=and
diverse ^jj+atrb+++=diverse
collection ^nn+nom+++=collection
of ^in++++=of
recording ^xvbg+++xvbg+=recording
media ^nns++++=media,
, ^zz++++=EXTRAWORD
including ^in++++=including
cassette ^nn+nom+++=cassette
tapes ^nns++++=tapes,
, ^zz++++=EXTRAWORD
Dat ^np+++??+=DAT
tapes ^nns++++=tapes,
, ^zz++++=EXTRAWORD
mini ^np++++=mini-disks,
- ^zz++++=EXTRAWORD
disks ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Hi ^uh++++=Hi-8
- ^zz++++=EXTRAWORD
8 ^zz++++=EXTRAWORD
tapes ^nns++++=tapes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mini ^np++++=mini-DV
- ^zz++++=EXTRAWORD
dv ^nn+++??+=EXTRAWORD
tapes ^nns++++=tapes.
. ^zz++++=EXTRAWORD
Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
limitations ^nns+nom+++=limitations
in ^in++++=in
time ^nn++++=time
and ^cc++++=and
funding ^nvbg+++xvbg+=funding,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
collection ^nn+nom+++=collection
was ^vbd+bedz+aux++=was
stored ^vpsv++agls+xvbnx+=stored
unsystematically ^rb++++=unsystematically
in ^in++++=in
drawers ^nns+nom+++=drawers.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
2009 ^cd++++=2009
and ^cc++++=and
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
linguist ^nn+nom+++=linguist
Ana ^np+++??+=Ana
Vilacy ^np+++??+=Vilacy
Galucio ^np+++??+=Galucio
led ^vbd+++xvbn+=led
a ^at++++=a
project ^nn++++=project
funded ^vwbn+++xvbn+=funded
by ^in++++=by
the ^ati++++=the
Cfdd ^np+++??+=CFDD/Ministry
of ^in++++=of
Justice ^nn++++=Justice
to ^to++++=to
digitize ^vbi++++=digitize
and ^cc++++=and
catalog ^nn+++??+=catalog
the ^ati++++=the
collection ^nn+nom+++=collection
in ^in++++=in
accordance ^nn+nom+++=accordance
with ^in"++++=with
international ^jj+atrb+++=international
archival ^nn+nom+++=archival
standards ^nns++++=standards.
. ^zz++++=EXTRAWORD
To ^to++++=To
increase ^vbi++++=increase
the ^ati++++=the
efficiency ^nn++++=efficiency
of ^in++++=of
cataloging ^xvbg+++xvbg+=cataloging
and ^cc++++=and
metadata ^jj+atrb++??+=metadata
management ^nn+nom+++=management,
, ^zz++++=EXTRAWORD
Sebastian ^np+++??+=Sebastian
Drude ^np+++??+=Drude
and ^cc++++=and
Rose ^nn+++xvbn+=Rose
Costa ^np++++=Costa
developed ^vbd+++xvbn+=developed
scripts ^nns++++=scripts
that ^tht+rel+subj++=that
reduced ^vbd+++xvbn+=reduced
the ^ati++++=the
required ^jj+atrb++xvbn+=required
processing ^jj+atrb++xvbg+=processing
time ^nn++++=time
by ^in++++=by
70 ^cd++++=70%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
the ^ati++++=the
goeldi ^np++++=Goeldi
institute ^npl++++=Institute
s ^zz++++=s
digital ^jj+atrb+++=digital
linguistic ^jj+atrb+++=linguistic
archive ^nn++++=archive
was ^vbd+bedz+aux++=was
established ^vpsv++agls+xvbn+=established.
. ^zz++++=EXTRAWORD
