Despite ^in++++=Despite
the ^ati++++=the
diversity ^nn+nom+++=diversity
in ^in++++=in
team ^nn++++=team-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
identification ^nn+nom+++=identification
practices ^nns++++=practices,
, ^zz++++=EXTRAWORD
the ^ati++++=the
annual ^jj+atrb+++=annual
scheduling ^nn+nom+++=scheduling
of ^in++++=of
tournaments ^nns+nom+++=tournaments
around ^rp++++=around
dates ^nns++++=dates
of ^in++++=of
national ^jj+atrb+++=national
significance ^nn+nom+++=significance
in ^in++++=in
Timor ^np+++??+=Timor-Leste
- ^zz++++=EXTRAWORD
leste ^vb+++??+=EXTRAWORD
emphasized ^vbd+vpub++xvbn+=emphasized
the ^ati++++=the
shared ^jj+atrb++xvbn+=shared
national ^jj+atrb+++=national
identity ^nn+nom+++=identity
of ^in++++=of
the ^ati++++=the
players ^nns+nom+++=players.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
tournaments ^nns+nom+++=tournaments
brought ^vbd+++xvbn+=brought
all ^abn++++=all
clubs ^nns++++=clubs
together ^nn+nom+++=together
in ^in++++=in
sporting ^nn++++=sporting
events ^nns++++=events,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Irish ^jj+atrb+++=Irish
context ^nn++++=context,
, ^zz++++=EXTRAWORD
positioned ^xvbn+++xvbn+=positioned
them ^pp3o+pp3+++=them
as ^ql++++=as
members ^nns+nom+++=members
of ^in++++=of
a ^at++++=a
single ^jj+atrb+++=single
diasporic ^nn++++=diasporic
community ^nn+nom+++=community
with ^in++++=with
origins ^nns++++=origins
in ^in++++=in
Timor ^np+++??+=Timor-Leste.
- ^zz++++=EXTRAWORD
leste ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
details ^nns++++=details
of ^in++++=of
these ^dt+dem+++=these
tournaments ^nns+nom+++=tournaments
were ^vbd+bed+aux++=were
regularly ^rb++splt++=regularly
posted ^vpsv++agls+xvbnx+=posted
on ^in++++=on
Facebook ^np+++??+=Facebook
and ^cc++++=and
Youtube ^np+++??+=YouTube
and ^cc++++=and
were ^vbd+bed+aux++=were
viewed ^vpsv++by+xvbnx+=viewed
by ^in++++=by
individuals ^nns+nom+++=individuals
in ^in++++=in
Timor ^np+++??+=Timor-Leste
- ^zz++++=EXTRAWORD
leste ^nn+++??+=EXTRAWORD
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
across ^in+pl+++=across
the ^ati++++=the
diaspora ^nn++++=diaspora.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
regular ^jj++++=regular
postings ^vbz+++??+=postings
formed ^vbd+++xvbn+=formed
part ^nn++++=part
of ^in++++=of
broader ^jjr+atrb+++=broader
digital ^jj+atrb+++=digital
practices ^nns++++=practices
and ^cc++++=and
intensive ^jj+atrb+++=intensive
use ^nn++++=use
of ^in++++=of
mobile ^jj+atrb+++=mobile
technology ^nn++++=technology
within ^in++++=within
the ^ati++++=the
transnationally ^rb++++=transnationally
connected ^xvbn+++xvbn+=connected
Timorese ^np+nom++??+=Timorese
diaspora ^nn++++=diaspora.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
specific ^jj+atrb+++=specific
migration ^nn+nom+++=migration
trajectories ^nns++++=trajectories,
, ^zz++++=EXTRAWORD
communicative ^jj+atrb+++=communicative
