Certain ^jj+atrb+++=Certain
countries ^nns++++=countries
exhibit ^vb++++=exhibit
distinct ^jj+atrb+++=distinct
authorship ^nn+nom+++=authorship
patterns ^nns++++=patterns
in ^in++++=in
their ^pp$+pp3+++=their
academic ^jj+atrb+++=academic
journals ^nns+nom+++=journals.
. ^zz++++=EXTRAWORD
In ^in++++=In
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
Medical ^jj++++=Medical
and ^cc++++=and
Health ^nn++++=Health
Sciences ^nns+nom+++=Sciences
journals ^nns+nom+++=journals
report ^vb++++=report
that ^tht+vcmp+++=that
single ^jj++++=single-author
- ^zz++++=EXTRAWORD
author ^nn++++=EXTRAWORD
articles ^nns++++=articles
constitute ^vb++++=constitute
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
of ^in++++=of
publications ^nns+nom+++=publications,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
articles ^nns++++=articles
with ^in++++=with
4 ^zz++++=4
to ^to++++=to
8 ^zz++++=8
authors ^nns++++=authors
account ^nn++++=account
for ^in++++=for
61.8 ^cd++++=61.8%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
trend ^nn++++=trend
toward ^in++++=toward
multi ^nn+++??+=multi-authored
- ^zz++++=EXTRAWORD
authored ^jj+atrb++xvbn+=EXTRAWORD
articles ^nns++++=articles
is ^vbz+bez+vrb++=is
consistent ^jj+pred+++=consistent
across ^in+pl+++=across
other ^ap++++=other
subject ^nn++++=subject
areas ^nns++++=areas
in ^in++++=in
Brazilian ^jj+atrb+++=Brazilian
journals ^nns+nom+++=journals.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
Colombian ^np+++??+=Colombian
journals ^nns+nom+++=journals
display ^vb++++=display
a ^at++++=a
higher ^jjr+atrb+++=higher
proportion ^nn+nom+++=proportion
of ^in++++=of
articles ^nns++++=articles
with ^in++++=with
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
diverging ^jj+++xvbg+=diverging
from ^in++++=from
the ^ati++++=the
more ^rbr++++=more
common ^jj+atrb+++=common
pattern ^nn++++=pattern
of ^in++++=of
4 ^zz++++=4
to ^to++++=to
8 ^zz++++=8
authors ^nns++++=authors
observed ^vbd+vprv++xvbn+=observed
elsewhere ^rb++++=elsewhere.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
articles ^nns++++=articles
with ^in++++=with
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
authors ^nns++++=authors
comprise ^vb++++=comprise
56.3 ^cd++++=56.3%
% ^zz++++=EXTRAWORD
in ^in++++=in
Agricultural ^jj+atrb+++=Agricultural
Sciences ^nns+nom+++=Sciences,
, ^zz++++=EXTRAWORD
41.7 ^cd++++=41.7%
% ^zz++++=EXTRAWORD
in ^in++++=in
Medical ^jj++++=Medical
and ^cc++++=and
Health ^nn++++=Health
Sciences ^nns+nom+++=Sciences,
, ^zz++++=EXTRAWORD
59.9 ^cd++++=59.9%
% ^zz++++=EXTRAWORD
in ^in++++=in
Natural ^jj+atrb+++=Natural
and ^cc+phrs+++=and
Exact ^jj+atrb+++=Exact
Sciences ^nns+nom+++=Sciences,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
63.8 ^cd++++=63.8%
% ^zz++++=EXTRAWORD
in ^in++++=in
Engineering ^nn++++=Engineering
and ^cc++++=and
Technology ^nn++++=Technology.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
proportions ^nns+nom+++=proportions
in ^in++++=in
Colombian ^np+++??+=Colombian
journals ^nns+nom+++=journals
are ^vb+ber+vrb++=are
substantially ^rb++++=substantially
higher ^jjr+pred+++=higher
than ^in++++=than
the ^ati++++=the
corresponding ^jj+atrb++xvbg+=corresponding
averages ^nns+nom+++=averages
for ^in++++=for
other ^ap++++=other
countries ^nns++++=countries
presented ^vbd+++xvbn+=presented
in ^in++++=in
table ^nn++++=Table
3 ^zz++++=3.
. ^zz++++=EXTRAWORD
