Opportunism ^nn+nom+++=Opportunism
is ^vbz+bez+vrb++=is
a ^at++++=a
central ^jj+atrb+++=central
component ^nn++++=component
of ^in++++=of
some ^dti++++=some
ecological ^jj+atrb+++=ecological
networks ^nns++++=networks;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
opportunistic ^jj+atrb+++=opportunistic
species ^nns++++=species
coexist ^nn+nom+++=coexist
with ^in++++=with
highly ^rb+amp+++=highly
specialized ^vprf+++xvbn+=specialized
species ^nns++++=species
that ^tht+rel+subj++=that
also ^rb++++=also
contribute ^vb++++=contribute
to ^in++++=to
network ^nn++++=network
structure ^nn++++=structure.
. ^zz++++=EXTRAWORD
Certain ^jj+atrb+++=Certain
specialists ^nns+nom+++=specialists
exhibit ^vb++++=exhibit
extreme ^nn++++=extreme
specificity ^nn+nom+++=specificity
by ^in++++=by
interacting ^nn++++=interacting
with ^in++++=with
a ^at++++=a
single ^jj+atrb+++=single
partner ^nn++++=partner,
, ^zz++++=EXTRAWORD
as ^in++++=as
observed ^nn++++=observed
in ^in++++=in
some ^dti++++=some
gall ^nnu++++=gall-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
insects ^nns++++=insects,
, ^zz++++=EXTRAWORD
floral ^jj+atrb+++=floral
parasites ^nns++++=parasites,
, ^zz++++=EXTRAWORD
myrmecophytes ^nns+++??+=myrmecophytes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anemonefishes ^nns+++??+=anemonefishes.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
other ^ap++++=other
specialized ^jj+atrb++xvbn+=specialized
species ^nns++++=species
are ^vb+ber+aux++=are
highly ^rb+amp+splt++=highly
connected ^vpsv++agls+xvbnx+=connected
within ^in++++=within
the ^ati++++=the
network ^nn++++=network,
, ^zz++++=EXTRAWORD
relying ^vbg+++xvbg+=relying
on ^in++++=on
interactions ^nns+nom+++=interactions
with ^in++++=with
a ^at++++=a
diverse ^jj+atrb+++=diverse
array ^nn++++=array
of ^in++++=of
partners ^nns+nom+++=partners
for ^in++++=for
persistence ^nn+nom+++=persistence.
. ^zz++++=EXTRAWORD
Examples ^nns++++=Examples
of ^in++++=of
these ^dt+dem+++=these
highly ^rb+amp+++=highly
connected ^xvbn+++xvbn+=connected
specialists ^nns+nom+++=specialists
include ^vb++++=include
obligate ^nn+nom+++=obligate
nectarivorous ^jj+atrb+++=nectarivorous
insects ^nns++++=insects,
, ^zz++++=EXTRAWORD
obligate ^nn+nom+++=obligate
frugivorous ^jj+atrb+++=frugivorous
birds ^nns++++=birds,
, ^zz++++=EXTRAWORD
cleaner ^jjr+atrb+++=cleaner
fishes ^nns++++=fishes,
, ^zz++++=EXTRAWORD
hypercarnivores ^nns+++??+=hypercarnivores,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
specialized ^vprf+++xvbn+=specialized
cleaning ^nvbg+++xvbg+=cleaning
birds ^nns++++=birds
such ^abl++++=such
as ^ql++++=as
oxpeckers ^nns+nom+++=oxpeckers.
. ^zz++++=EXTRAWORD
Investigating ^vbg+++xvbg+=Investigating
the ^ati++++=the
integration ^nn+nom+++=integration
of ^in++++=of
opportunistic ^nn++++=opportunistic
and ^cc++++=and
specialized ^vprf+++xvbn+=specialized
lifestyles ^nns+++??+=lifestyles
within ^in++++=within
ecological ^jj+atrb+++=ecological
networks ^nns++++=networks
can ^md+pos+++=can
provide ^vb+vsua+++=provide
valuable ^jj+atrb+++=valuable
insights ^nns++++=insights
into ^in++++=into
the ^ati++++=the
ecological ^jj+atrb+++=ecological
and ^cc+phrs+++=and
evolutionary ^jj+atrb+++=evolutionary
processes ^nns+nom+++=processes
that ^tht+rel+obj++=that
shape ^nn++++=shape
species ^nn++++=species-rich
- ^zz++++=EXTRAWORD
rich ^jj+atrb+++=EXTRAWORD
assemblages ^nns+nom+++=assemblages
of ^in++++=of
interacting ^jj+atrb+++=interacting
organisms ^nns+nom+++=organisms.
. ^zz++++=EXTRAWORD
