It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
recognize ^vbi+vprv+++=recognize
that ^tht+vcmp+++=that
digital ^jj+atrb+++=digital
culture ^nn++++=culture
has ^vbz+hvz+aux++=has
contributed ^vprf+++xvbnx+=contributed
to ^in++++=to
significant ^jj+atrb+++=significant
social ^jj+atrb+++=social
changes ^nns++++=changes
in ^in++++=in
contemporary ^jj+atrb+++=contemporary
societies ^nns++++=societies.
. ^zz++++=EXTRAWORD
The ^ati++++=The
advancement ^nn+nom+++=advancement
and ^cc++++=and
proliferation ^nn+nom+++=proliferation
of ^in++++=of
information ^nn+nom+++=information
and ^cc++++=and
communication ^nn+nom+++=communication
technologies ^nns+++??+=technologies,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in"++++=with
increased ^jj+atrb++xvbn+=increased
access ^nn++++=access
to ^in++++=to
devices ^nns++++=devices
such ^abl++++=such
as ^ql++++=as
computers ^nns+nom+++=computers,
, ^zz++++=EXTRAWORD
mobile ^jj+atrb+++=mobile
phones ^nns++++=phones,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tablets ^nns+nom+++=tablets,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
facilitated ^vprf+++xvbnx+=facilitated
students ^nns++++=students'
' ^zz++++=EXTRAWORD
active ^jj+atrb+++=active
participation ^nn+nom+++=participation
in ^in++++=in
this ^dt+dem+++=this
culture ^nn++++=culture.
. ^zz++++=EXTRAWORD
Students ^nns++++=Students
are ^vb+ber+vrb++=are
not ^xnot++not++=not
only ^rb+down+++=only
consumers ^nns+nom+++=consumers
of ^in++++=of
digital ^jj+atrb+++=digital
content ^nn++++=content
but ^cc++++=but
also ^rb++++=also
engage ^vb++++=engage
with ^in++++=with
and ^cc++++=and
contribute ^vb++++=contribute
to ^in++++=to
digital ^jj+atrb+++=digital
environments ^nns+nom+++=environments
in ^in++++=in
various ^jj+atrb+++=various
ways ^nns++++=ways
( ^zz++++=(BNCC,
bncc ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
61 ^cd++++=61).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
