Collaboration ^nn+nom+++=Collaboration
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
fundamental ^jj+atrb+++=fundamental
factor ^nn++++=factor
contributing ^vwbg+++xvbg+=contributing
to ^in++++=to
the ^ati++++=the
significant ^jj+atrb+++=significant
increase ^nn++++=increase
in ^in++++=in
publications ^nns+nom+++=publications
by ^in++++=by
Brazilian ^jj+atrb+++=Brazilian
authors ^nns++++=authors
in ^in++++=in
recent ^jj+atrb+++=recent
decades ^nns++++=decades.
. ^zz++++=EXTRAWORD
Sidone ^np+++??+=Sidone,
, ^zz++++=EXTRAWORD
Haddad ^np+++??+=Haddad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mena ^np+++??+=Mena-Chalco
- ^zz++++=EXTRAWORD
chalco ^nn+++??+=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
demonstrated ^vprf+++xvbn+=demonstrated
that ^tht+vcmp+++=that
institutions ^nns+nom+++=institutions
located ^vwbn+++xvbn+=located
in ^in++++=in
the ^ati++++=the
Southeastern ^np+++??+=Southeastern
states ^np++++=states,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
played ^vprf+++xvbnx+=played
a ^at++++=a
central ^jj+atrb+++=central
role ^nn++++=role
in ^in++++=in
facilitating ^xvbg+++xvbg+=facilitating
both ^abx++++=both
intraand ^nn+++??+=intraand
inter ^rb++++=inter-regional
- ^zz++++=EXTRAWORD
regional ^jj+atrb+++=EXTRAWORD
collaborations ^nns+nom+++=collaborations
within ^in++++=within
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
these ^dt+dem+++=these
states ^nns++++=states
maintain ^vb+vpub+++=maintain
their ^pp$+pp3+++=their
central ^jj+atrb+++=central
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
recent ^jj+atrb+++=recent
years ^nns++++=years
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
a ^at++++=a
notable ^jj+atrb+++=notable
rise ^nn++++=rise
in ^in++++=in
collaborative ^jj+atrb+++=collaborative
activities ^nns+nom+++=activities
among ^in++++=among
institutions ^nns+nom+++=institutions
in ^in++++=in
other ^ap++++=other
states ^nns++++=states,
, ^zz++++=EXTRAWORD
both ^abx++++=both
within ^in++++=within
the ^ati++++=the
same ^ap++++=same
region ^nn++++=region
and ^cc++++=and
across ^in+pl+++=across
different ^jj+atrb+++=different
regions ^nns++++=regions,
, ^zz++++=EXTRAWORD
with ^in++++=with
this ^dt+dem+++=this
trend ^nn++++=trend
being ^vb+be+vrb++=being
especially ^rb++++=especially
pronounced ^jj+pred+++=pronounced
in ^in++++=in
the ^ati++++=the
northeast ^np++++=Northeast
and ^cc++++=and
south ^np+pl+++=South.
. ^zz++++=EXTRAWORD
