By ^in++++=By
the ^ati++++=the
first ^od++++=first
decade ^nn++++=decade
of ^in++++=of
the ^ati++++=the
twenty ^cd++++=twenty-first
- ^zz++++=EXTRAWORD
first ^rb++++=EXTRAWORD
century ^nn++++=century,
, ^zz++++=EXTRAWORD
sociolinguists ^nns+nom+++=sociolinguists
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
make ^vbi++++=make
significant ^jj+atrb+++=significant
contributions ^nns+nom+++=contributions
to ^in++++=to
this ^dt+dem+++=this
developing ^jj+atrb++xvbg+=developing
area ^nn++++=area
of ^in++++=of
research ^nn++++=research
through ^in++++=through
both ^abx++++=both
empirical ^jj+atrb+++=empirical
studies ^nns++++=studies
and ^cc++++=and
theoretical ^jj+atrb+++=theoretical
frameworks ^nns++++=frameworks.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
work ^vb++++=work
advanced ^vbd+vsua++xvbn+=advanced
the ^ati++++=the
understanding ^jj+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
political ^jj++++=political,
, ^zz++++=EXTRAWORD
economic ^jj++++=economic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cultural ^jj+atrb+++=cultural
conditions ^nns+nom+++=conditions
characteristic ^nn++++=characteristic
of ^in++++=of
late ^jj+atrb+++=late
modernity ^nn+nom+++=modernity,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
language ^nn+nom+++=language
practices ^nns++++=practices
and ^cc++++=and
ideologies ^nns++++=ideologies
structure ^nn++++=structure
and ^cc++++=and
legitimize ^vb++++=legitimize
these ^dt+dem+++=these
conditions ^nns+nom+++=conditions
( ^zz++++=(Coupland,
coupland ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003;
; ^zz++++=EXTRAWORD
Heller ^np++++=Heller,
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
Blommaert ^np+++??+=Blommaert,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010;
; ^zz++++=EXTRAWORD
Duch ^np+++??+=Duch
ne ^&fw++++=ne
& ^zz++++=&
Heller ^np++++=Heller,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
Heller ^np++++=Heller
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
examines ^vbz++++=examines
the ^ati++++=the
specific ^jj++++=specific
epistemological ^jj++++=epistemological
shifts ^vbz++++=shifts
that ^dt+pdem+++=that
have ^vb+hv+aux++=have
occurred ^vprf+++xvbnx+=occurred
within ^in++++=within
the ^ati++++=the
sociolinguistics ^nns++++=sociolinguistics
of ^in++++=of
multilingualism ^nn+nom+++=multilingualism
and ^cc++++=and
demonstrates ^nns+nom+++=demonstrates
how ^wrb+who+++=how
debates ^nns+nom+++=debates
within ^in++++=within
this ^dt+dem+++=this
field ^nn++++=field
informed ^vbd+vpub++xvbn+=informed
the ^ati++++=the
conceptual ^jj+atrb+++=conceptual
framework ^nn++++=framework
and ^cc++++=and
methodological ^jj++++=methodological
approach ^vb++++=approach
adopted ^vbd+++xvbn+=adopted
in ^in++++=in
our ^pp$+pp1+++=our
research ^nn++++=research
with ^in++++=with
timorese ^np+nom+++=Timorese
communities ^nns+nom+++=communities
in ^in++++=in
the ^ati++++=the
uk ^np++++=UK.
. ^zz++++=EXTRAWORD
