Data ^nns++++=Data
obtained ^vwbn+++xvbn+=obtained
from ^in++++=from
participant ^nn+nom+++=participant
observation ^nn+nom+++=observation,
, ^zz++++=EXTRAWORD
interviews ^nns++++=interviews,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
previous ^jj+atrb+++=previous
research ^nn++++=research
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
Dungannon ^np+++??+=Dungannon
by ^in++++=by
Da ^np+++??+=Da
Costa ^np++++=Costa
Cabral ^np+++??+=Cabral
( ^zz++++=(2010)
2010 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
indicate ^nn+nom+++=indicate
significant ^jj+atrb+++=significant
diversity ^nn+nom+++=diversity
among ^in++++=among
young ^jj+atrb+++=young
Timorese ^np+nom++??+=Timorese
individuals ^nns+nom+++=individuals
currently ^rb++++=currently
residing ^vbg+++xvbg+=residing
and ^cc+phrs+++=and
working ^vbg+++xvbg+=working
in ^in++++=in
Dungannon ^np+++??+=Dungannon
and ^cc++++=and
Cookstown ^np+++??+=Cookstown.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
individuals ^nns+nom+++=individuals
originate ^nn+nom+++=originate
from ^in++++=from
various ^jj+atrb+++=various
districts ^nns++++=districts
of ^in++++=of
Timor ^np+++??+=Timor-Leste
- ^zz++++=EXTRAWORD
leste ^nn+++??+=EXTRAWORD
and ^cc++++=and
speak ^vb++++=speak
a ^at++++=a
range ^nn++++=range
of ^in++++=of
regional ^jj+atrb+++=regional
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Fataluku ^np+++??+=Fataluku,
, ^zz++++=EXTRAWORD
Makasai ^np+++??+=Makasai,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mambai ^np+++??+=Mambai,
, ^zz++++=EXTRAWORD
in ^in++++=in
addition ^nn+nom+++=addition
to ^in++++=to
Tetum ^np+++??+=Tetum,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
serves ^vbz++++=serves
as ^in++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
lingua ^nn+++??+=lingua
franca ^np++++=franca.
. ^zz++++=EXTRAWORD
Table ^nn++++=Table
1 ^zz++++=1
presents ^vbz++++=presents
the ^ati++++=the
language ^nn+nom+++=language
proficiencies ^nns+++??+=proficiencies
and ^cc++++=and
migration ^nn+nom+++=migration
trajectories ^nns++++=trajectories
of ^in++++=of
the ^ati++++=the
core ^nn++++=core
group ^nn++++=group
of ^in++++=of
research ^nn++++=research
participants ^nns+nom+++=participants.
. ^zz++++=EXTRAWORD
All ^abn++++=All
interviewees ^nns+nom+++=interviewees
in ^in++++=in
this ^dt+dem+++=this
core ^nn++++=core
group ^nn++++=group
were ^vbd+bed+vrb++=were
between ^in++++=between
20 ^cd++++=20
and ^cc++++=and
45 ^cd++++=45
years ^nns++++=years
old ^jj++++=old
and ^cc++++=and
had ^vbd+hvd+aux++=had
received ^vprf+++xvbnx+=received
their ^pp$+pp3+++=their
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
entirely ^rb+amp+++=entirely
or ^cc+phrs+++=or
partially ^rb+cnj+++=partially,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
medium ^nn++++=medium
of ^in++++=of
bahasa ^np++++=Bahasa
indonesia ^np++++=Indonesia.
. ^zz++++=EXTRAWORD
