Formal ^jj+atrb+++=Formal
instruction ^nn+nom+++=instruction
provided ^vbd+vsua++xvbn+=provided
in ^in++++=in
schools ^nns++++=schools
should ^md+nec+++=should
prioritize ^vb++++=prioritize
the ^ati++++=the
promotion ^nn+nom+++=promotion
of ^in++++=of
intellectual ^jj+atrb+++=intellectual
development ^nn+nom+++=development,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
achieved ^vbd+++xvbn+=achieved
through ^in++++=through
the ^ati++++=the
cultivation ^nn+nom+++=cultivation
of ^in++++=of
scientific ^jj+atrb+++=scientific
thinking ^nn++++=thinking.
. ^zz++++=EXTRAWORD
