A ^at++++=A
total ^nn++++=total
of ^in++++=of
42 ^cd++++=42
episodes ^nns++++=episodes
of ^in++++=of
group ^nn++++=group
discussion ^nn++++=discussion
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded,
, ^zz++++=EXTRAWORD
transcribed ^j+++xvbn+=transcribed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
analyzed ^jj+++xvbn+=analyzed.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
sample ^nn++++=sample
size ^nn++++=size
and ^cc++++=and
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
research ^nn++++=research
questions ^nns+nom+++=questions,
, ^zz++++=EXTRAWORD
a ^at++++=a
quantitative ^jj+atrb+++=quantitative
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
deemed ^vpsv++agls+xvbnx+=deemed
the ^ati++++=the
most ^ql+emph+++=most
appropriate ^jj+atrb+++=appropriate
method ^nn++++=method
to ^to++++=to
identify ^vbi++++=identify
general ^jj+atrb+++=general
patterns ^nns++++=patterns
in ^in++++=in
the ^ati++++=the
discursive ^jj+atrb+++=discursive
interactions ^nns+nom+++=interactions
that ^tht+rel+subj++=that
emerged ^vprf+++xvbn+=emerged
within ^in++++=within
the ^ati++++=the
groups ^nns++++=groups
and ^cc++++=and
to ^to++++=to
assess ^vbi++++=assess
how ^wrb+who+++=how
these ^dt+dem+++=these
patterns ^nns++++=patterns
may ^md+pos+++=may
have ^vb+hv+aux++=have
changed ^vpsv++agls+xvbn+=changed
over ^in++++=over
time ^nn++++=time.
. ^zz++++=EXTRAWORD
