De ^&fw++++=De
novo ^nn+++??+=novo
assembly ^nn++++=assembly
is ^vbz+bez+vrb++=is
the ^ati++++=the
computational ^jj+atrb+++=computational
process ^nns+nom+++=process
of ^in++++=of
reconstructing ^xvbg+++xvbg+=reconstructing
a ^at++++=a
genome ^nn+++??+=genome
from ^in++++=from
sequencing ^xvbg+++xvbg+=sequencing
reads ^vbz++++=reads.
. ^zz++++=EXTRAWORD
Genome ^np+++??+=Genome
assembly ^nn++++=assembly
is ^vbz+bez+aux++=is
typically ^rb++splt++=typically
evaluated ^vpsv++agls+xvbnx+=evaluated
based ^xvbn+++xvbn+=based
on ^in++++=on
two ^cd++++=two
primary ^jj+atrb+++=primary
criteria ^nns++++=criteria:
: ^zz++++=EXTRAWORD
accuracy ^nn+nom+++=accuracy
and ^cc++++=and
completeness ^nns+nom+++=completeness.
. ^zz++++=EXTRAWORD
Accuracy ^nn+nom+++=Accuracy
denotes ^vbz+vsua+++=denotes
the ^ati++++=the
frequency ^nn++++=frequency
and ^cc++++=and
magnitude ^nn++++=magnitude
of ^in++++=of
errors ^nns++++=errors
in ^in++++=in
the ^ati++++=the
assembled ^jj+atrb++xvbn+=assembled
sequences ^nns+nom+++=sequences
( ^zz++++=(contigs),
contigs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
may ^md+pos+++=may
range ^vb++++=range
from ^in++++=from
single ^jj++++=single-base
- ^zz++++=EXTRAWORD
base ^nn++++=EXTRAWORD
substitutions ^nns+nom+++=substitutions
to ^in++++=to
larger ^jjr+atrb+++=larger
insertions ^nns+nom+++=insertions
or ^cc++++=or
deletions ^nns+nom+++=deletions
involving ^vwbg+++xvbg+=involving
hundreds ^cds++++=hundreds
of ^in++++=of
bases ^nns++++=bases.
. ^zz++++=EXTRAWORD
Completeness ^nns+nom+++=Completeness
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
extent ^nn++++=extent
to ^to++++=to
which ^whp+who+++=which
the ^ati++++=the
assembled ^jj+atrb++xvbn+=assembled
contigs ^nns+++??+=contigs
represent ^vb++++=represent
the ^ati++++=the
full ^jj+atrb+++=full
length ^nn++++=length
of ^in++++=of
the ^ati++++=the
corresponding ^jj+atrb++xvbg+=corresponding
genomic ^jj+atrb+++=genomic
sequences ^nns+nom+++=sequences,
, ^zz++++=EXTRAWORD
with ^in++++=with
less ^rbr++++=less
fragmentation ^nn+nom+++=fragmentation
indicating ^vwbg+vprv++xvbg+=indicating
higher ^jjr+atrb+++=higher
completeness ^nns+nom+++=completeness.
. ^zz++++=EXTRAWORD
Ideally ^rb+cnj+++=Ideally,
, ^zz++++=EXTRAWORD
each ^dt++++=each
contig ^nn+++??+=contig
would ^md+prd+++=would
correspond ^vb++++=correspond
to ^in++++=to
an ^at++++=an
entire ^jjb+atrb+++=entire
replicon ^nn+++??+=replicon
within ^in++++=within
the ^ati++++=the
genome ^nn+++??+=genome.
. ^zz++++=EXTRAWORD
A ^at++++=A
perfect ^jj+atrb+++=perfect
assembly ^nn++++=assembly
is ^vbz+bez+aux++=is
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
one ^cd1++++=one
that ^dt+pdem+++=that
optimizes ^vbz++++=optimizes
both ^abx++++=both
accuracy ^nn+nom+++=accuracy
and ^cc++++=and
completeness ^nns+nom+++=completeness;
; ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
bacterial ^jj+atrb+++=bacterial
genome ^nn+++??+=genome,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
would ^md+prd+++=would
entail ^vb++++=entail
producing ^vbg+++xvbg+=producing
a ^at++++=a
single ^jj++++=single,
, ^zz++++=EXTRAWORD
error ^nn++++=error-free
- ^zz++++=EXTRAWORD
free ^jj+atrb+++=EXTRAWORD
contig ^nn++++=contig
for ^in++++=for
each ^dt++++=each
replicon ^nn++++=replicon
without ^in++++=without
any ^dti++++=any
extraneous ^jj+atrb+++=extraneous
contigs ^nns++++=contigs.
. ^zz++++=EXTRAWORD
