Once ^rb+tm+++=Once
the ^ati++++=the
materials ^nns+nom+++=materials
and ^cc++++=and
metadata ^nn+++??+=metadata
are ^vb+ber+aux++=are
archived ^vpsv++agls+xvbnx+=archived,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
become ^vb++++=become
accessible ^jj++++=accessible
to ^in++++=to
their ^pp$+pp3+++=their
creators ^nns++++=creators,
, ^zz++++=EXTRAWORD
collaborators ^nns++++=collaborators,
, ^zz++++=EXTRAWORD
other ^ap++++=other
researchers ^nns+nom+++=researchers,
, ^zz++++=EXTRAWORD
members ^nns+nom+++=members
of ^in++++=of
the ^ati++++=the
language ^nn+nom+++=language
community ^nn+nom+++=community,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
any ^dti++++=any
other ^ap++++=other
individuals ^nns+nom+++=individuals
who ^whp+rel+subj++=who
may ^md+pos+++=may
require ^vb+vsua+++=require
access ^nn++++=access
to ^in++++=to
the ^ati++++=the
data ^nns++++=data.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
digital ^jj+atrb+++=digital
language ^nn+nom+++=language
archives ^nn++++=archives
are ^vb+ber+aux++=are
designed ^vpsv++agls+xvbnx+=designed
to ^to+vcmp+++=to
facilitate ^nn+nom+++=facilitate
the ^ati++++=the
discoverability ^nn+nom+++=discoverability
of ^in++++=of
materials ^nns+nom+++=materials,
, ^zz++++=EXTRAWORD
enabling ^vbg+nom++xvbg+=enabling
users ^nns++++=users
to ^to++++=to
efficiently ^rb++splt++=efficiently
locate ^vbi++++=locate
the ^ati++++=the
resources ^nns++++=resources
they ^pp3a+pp3+++=they
seek ^vb++++=seek.
. ^zz++++=EXTRAWORD
Discoverability ^np+nom++??+=Discoverability
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
for ^in++++=for
both ^abx++++=both
internal ^jj+atrb+++=internal
searches ^nns++++=searches
within ^in++++=within
the ^ati++++=the
archive ^jj++++=archive
such ^abl++++=such
as ^cs+sub+++=as
faceted ^vbd+++xvbn+=faceted,
, ^zz++++=EXTRAWORD
targeted ^j+++xvbn+=targeted,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
advanced ^jj+atrb++xvbn+=advanced
searches ^nns++++=searches
and ^cc++++=and
for ^in++++=for
external ^jj+atrb+++=external
searches ^nns++++=searches
conducted ^vbd+++xvbn+=conducted
through ^in++++=through
broader ^jjr+atrb+++=broader
internet ^nn+++??+=internet
platforms ^nns++++=platforms,
, ^zz++++=EXTRAWORD
including ^in++++=including
Google ^np+++??+=Google
indexing ^vwbg+++xvbg+=indexing
and ^cc++++=and
metadata ^nn+++??+=metadata
harvesting ^nn++++=harvesting
by ^in++++=by
the ^ati++++=the
open ^jj+atrb+++=Open
language ^nn+nom+++=Language
archives ^np++++=Archives
community ^nn+nom+++=Community
( ^zz++++=(OLAC).
olac ^nn++++=EXTRAWORD
). ^nn++++=EXTRAWORD
