Brazilian ^jj+atrb+++=Brazilian
experts ^nns++++=experts
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
published ^vprf+++xvbnx+=published
articles ^nns++++=articles
in ^in++++=in
the ^ati++++=the
highest ^jjt++++=highest-ranked
- ^zz++++=EXTRAWORD
ranked ^vbd+++xvbn+=EXTRAWORD
journals ^nns+nom+++=journals
within ^in++++=within
each ^dt++++=each
of ^in++++=of
seven ^cd++++=seven
computer ^nn+nom+++=computer
science ^nn+nom+++=science
subfields ^nns+++??+=subfields,
, ^zz++++=EXTRAWORD
as ^in++++=as
identified ^nn++++=identified
by ^in++++=by
the ^ati++++=the
Journal ^nn++++=Journal
Citation ^np+nom++??+=Citation
Reports ^nns++++=Reports
( ^zz++++=(JCR)
jcr ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
over ^in++++=over
a ^at++++=a
five ^cd++++=five-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
period ^nn++++=period,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
invited ^vpsv++agls+xvbnx+=invited
to ^to++++=to
participate ^nn+nom+++=participate
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study.
. ^zz++++=EXTRAWORD
Unlike ^in++++=Unlike
Ceap ^np+++??+=CEAP
courses ^nns++++=courses
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
English ^jj++++=English-speaking
- ^zz++++=EXTRAWORD
speaking ^vbg+++xvbg+=EXTRAWORD
countries ^nns++++=countries
or ^cc++++=or
in ^in++++=in
countries ^nns++++=countries
where ^wrb+who+++=where
English ^nn++++=English
is ^vbz+bez+vrb++=is
the ^ati++++=the
language ^nn+nom+++=language
of ^in++++=of
instruction ^nn+nom+++=instruction,
, ^zz++++=EXTRAWORD
the ^ati++++=the
target ^nn++++=target
context ^nn++++=context
in ^in++++=in
this ^dt+dem+++=this
research ^nn++++=research
is ^vbz+bez+aux++=is
not ^xnot++not++=not
defined ^vpsv++by+xvbn+=defined
by ^in++++=by
the ^ati++++=the
interactions ^nns+nom+++=interactions
of ^in++++=of
a ^at++++=a
local ^jj+atrb+++=local
community ^nn+nom+++=community,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rather ^rb++++=rather
by ^in++++=by
a ^at++++=a
global ^jj+atrb+++=global
community ^nn+nom+++=community
engaged ^vwbn+++xvbn+=engaged
in ^in++++=in
academic ^jj++++=academic
publishing ^jj+++xvbg+=publishing
in ^in++++=in
computer ^nn+nom+++=computer
science ^nn+nom+++=science.
. ^zz++++=EXTRAWORD
Conducting ^vbg+++xvbg+=Conducting
an ^at++++=an
in ^in++++=in-person
- ^zz++++=EXTRAWORD
person ^nn++++=EXTRAWORD
investigation ^nn+nom+++=investigation
of ^in++++=of
the ^ati++++=the
contextual ^jj+atrb+++=contextual
features ^nns++++=features
of ^in++++=of
this ^dt+dem+++=this
target ^nn++++=target
situation ^nn+nom+++=situation
would ^md+prd+++=would
require ^vb+vsua+++=require
substantial ^jj+atrb+++=substantial
time ^nn++++=time
and ^cc++++=and
resources ^nns++++=resources.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
information ^nn+nom+++=information
and ^cc++++=and
communication ^nn+nom+++=communication
technologies ^nns+++??+=technologies
( ^zz++++=(ICT)
ict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
employed ^vpsv++agls+xvbnx+=employed
as ^ql++++=as
a ^at++++=a
practical ^jj+atrb+++=practical
alternative ^nn++++=alternative
for ^in++++=for
both ^abx++++=both
remote ^jj+atrb+++=remote
data ^nns++++=data
collection ^nn+nom+++=collection
and ^cc++++=and
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
Table ^nn++++=Table
1 ^zz++++=1
lists ^nns++++=lists
the ^ati++++=the
Ict ^np+++??+=ICT
tools ^nns++++=tools
utilized ^vbd+++xvbn+=utilized
in ^in++++=in
each ^dt++++=each
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
phases ^nns++++=phases
of ^in++++=of
the ^ati++++=the
contextual ^jj+atrb+++=contextual
target ^nn++++=target
situation ^nn+nom+++=situation
analysis ^nn++++=analysis
( ^zz++++=(TSA).
tsa ^nn++++=EXTRAWORD
). ^nn++++=EXTRAWORD
