Up ^rp++++=Up
to ^to++++=to
1942 ^cd+date+++=1942,
, ^zz++++=EXTRAWORD
fewer ^ap++++=fewer
than ^in++++=than
100 ^cd++++=100
documents ^nns+nom+++=documents
were ^vbd+bed+aux++=were
published ^vpsv++agls+xvbnx+=published
per ^nnu++++=per
year ^nn++++=year;
; ^zz++++=EXTRAWORD
up ^rp++++=up
to ^to++++=to
1990 ^cd+date+++=1990,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
number ^nn++++=number
remained ^vbd+++xvbn+=remained
below ^rb++++=below
1,000 ^cd++++=1,000;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
up ^rp++++=up
to ^to++++=to
1999 ^cd+date+++=1999,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
less ^rbr++++=less
than ^in++++=than
10,000 ^cd++++=10,000.
. ^zz++++=EXTRAWORD
The ^ati++++=The
highest ^jjt+atrb+++=highest
annual ^jj+atrb+++=annual
output ^nn++++=output
was ^vbd+bedz+aux++=was
recorded ^vpsv++agls+xvbnx+=recorded
in ^in++++=in
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
with ^in++++=with
58,025 ^cd++++=58,025
articles ^nns++++=articles.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
figures ^nns++++=figures
should ^md+nec+++=should
be ^vb+be+aux++=be
interpreted ^vpsv++agls+xvbnx+=interpreted
with ^in++++=with
caution ^nn+nom+++=caution,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
may ^md+pos+++=may
not ^xnot++not++=not
accurately ^rb++++=accurately
reflect ^vb+vprv+++=reflect
the ^ati++++=the
publication ^nn+nom+++=publication
history ^nn++++=history
of ^in++++=of
journals ^nns+nom+++=journals
in ^in++++=in
Latin ^jj+atrb+++=Latin
America ^np++++=America
and ^cc++++=and
the ^ati++++=the
Caribbean ^np+nom++??+=Caribbean.
. ^zz++++=EXTRAWORD
Analysis ^nn++++=Analysis
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
for ^in++++=for
most ^ql+emph+++=most
older ^jjr+atrb+++=older
journals ^nns+nom+++=journals,
, ^zz++++=EXTRAWORD
digitization ^nn+nom+++=digitization
and ^cc++++=and
online ^jj+atrb++??+=online
availability ^nn+nom+++=availability
of ^in++++=of
volumes ^nns++++=volumes
published ^vbd+++xvbn+=published
before ^cs+sub+++=before
1998 ^cd+date+++=1998
are ^vb+ber+vrb++=are
incomplete ^jj+pred+++=incomplete.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
data ^nns++++=data
are ^vb+ber+vrb++=are
available ^jj+pred+++=available
for ^in++++=for
only ^rb+down+++=only
78 ^cd++++=78
journals ^nns+nom+++=journals
with ^in++++=with
documents ^nns+nom+++=documents
published ^vbd+++xvbn+=published
prior ^jj++++=prior
to ^to++++=to
1998 ^cd+date+++=1998
the ^ati++++=the
year ^nn++++=year
Scielo ^np+++??+=SciELO
was ^vbd+bedz+aux++=was
launched ^vpsv++agls+xvbnx+=launched
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
the ^ati++++=the
inclusion ^nn++++=inclusion
of ^in++++=of
documents ^nns+nom+++=documents
predating ^vwbg+++xvbg+=predating
a ^at++++=a
journal ^nn++++=journal
s ^zz++++=s
indexing ^jj++++=indexing
in ^in++++=in
scielo ^np++++=SciELO
was ^vbd+bedz+vrb++=was
uncommon ^jj+pred+++=uncommon.
. ^zz++++=EXTRAWORD
