Since ^in++++=Since
2012 ^cd++++=2012,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
conducted ^vprf+++xvbnx+=conducted
sampling ^nn+nom+++=sampling
of ^in++++=of
the ^ati++++=the
remnant ^nn+nom+++=remnant
forest ^nn++++=forest
patches ^nns++++=patches.
. ^zz++++=EXTRAWORD
Specimens ^nns++++=Specimens
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
and ^cc+phrs+++=and
dried ^xvbn+++xvbn+=dried
following ^jj+atrb++xvbg+=following
standard ^jj+atrb+++=standard
protocols ^nns++++=protocols
for ^in++++=for
fern ^jj+atrb++xvbn+=fern
collections ^nns+nom+++=collections
( ^zz++++=(Windisch
windisch ^nn+++??+=EXTRAWORD
1992 ^cd+date+++=1992)
) ^zz++++=EXTRAWORD
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
incorporated ^vbd+++xvbn+=incorporated
into ^in++++=into
the ^ati++++=the
Vic ^np++++=VIC
herbarium ^&fw++++=herbarium
( ^zz++++=(herbarium
herbarium ^&fw++++=EXTRAWORD
acronyms ^nns+++??+=acronyms
follow ^vb+vprv+++=follow
Thiers ^np+++??+=Thiers,
, ^zz++++=EXTRAWORD
continuously ^rb++++=continuously
updated ^jj+++xvbn+=updated),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
duplicates ^nn++++=duplicates
designated ^vbd+++xvbn+=designated
for ^in++++=for
distribution ^nn+nom+++=distribution
to ^in++++=to
other ^ap++++=other
herbaria ^nn+++??+=herbaria.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
conducted ^vbd+++xvbn+=conducted
a ^at++++=a
comprehensive ^jj+atrb+++=comprehensive
review ^nn++++=review
of ^in++++=of
the ^ati++++=the
collections ^nns+nom+++=collections
at ^in++++=at
the ^ati++++=the
Vic ^np++++=VIC
herbarium ^&fw++++=herbarium
and ^cc++++=and
examined ^vbd+++xvbn+=examined
online ^nn+++??+=online
records ^vbz+vpub+++=records
from ^in++++=from
other ^ap++++=other
herbaria ^nn+++??+=herbaria,
, ^zz++++=EXTRAWORD
including ^in++++=including
F ^zz++++=F,
, ^zz++++=EXTRAWORD
Ian ^np++++=IAN,
, ^zz++++=EXTRAWORD
Ny ^np+++??+=NY,
, ^zz++++=EXTRAWORD
Ph ^nn++++=PH,
, ^zz++++=EXTRAWORD
Rb ^np+++??+=RB,
, ^zz++++=EXTRAWORD
U ^zz++++=U,
, ^zz++++=EXTRAWORD
Uc ^np+++??+=UC,
, ^zz++++=EXTRAWORD
Upcb ^np+++??+=UPCB,
, ^zz++++=EXTRAWORD
Us ^pp1o+pp1+++=US,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Wtu ^np+++??+=WTU.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
previous ^jj++++=previous
fascicles ^vbz+++??+=fascicles
utilized ^vbd+++xvbn+=utilized
a ^at++++=a
classification ^nn+nom+++=classification
system ^nn++++=system
adapted ^vbd+++xvbn+=adapted
from ^in++++=from
Kenrick ^np+++??+=Kenrick
& ^zz++++=&
Crane ^nn++++=Crane
( ^zz++++=(1997)
1997 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Smith ^np++++=Smith
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2006),
2006 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
adopts ^nns+++??+=adopts
the ^ati++++=the
Ppg ^np+++??+=PPG
I ^pp1a+pp1+++=I
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
system ^nn++++=system.
. ^zz++++=EXTRAWORD
morphological ^jj+atrb+++=Morphological
terminology ^nn++++=terminology
follows ^vbz+vprv+++=follows
lellinger ^np+nom+++=Lellinger
( ^zz++++=(2002).
2002 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
