While ^cs+sub+++=While
exploring ^vbg+++xvbg+=exploring
explanations ^nns+nom+++=explanations
involved ^vbd+++xvbn+=involved
advancing ^vbg+++xvbg+=advancing,
, ^zz++++=EXTRAWORD
extending ^vbg+++xvbg+=extending,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
elaborating ^jj+++xvbg+=elaborating
on ^in++++=on
students ^nns++++=students
ideas ^nns++++=ideas,
, ^zz++++=EXTRAWORD
guiding ^vbg+++xvbg+=guiding
explanations ^nns+nom+++=explanations
referred ^vbd+++xvbn+=referred
to ^in++++=to
instructional ^jj+atrb+++=instructional
sequences ^nns+nom+++=sequences
directed ^vwbn+++xvbn+=directed
toward ^in++++=toward
the ^ati++++=the
scientific ^jj+atrb+++=scientific
explanation ^nn+nom+++=explanation,
, ^zz++++=EXTRAWORD
including ^in++++=including
efforts ^nns++++=efforts
to ^to+ncmp+++=to
use ^vbi++++=use
scientific ^jj+atrb+++=scientific
terminology ^nn++++=terminology
with ^in++++=with
greater ^jjr+atrb+++=greater
precision ^nn++++=precision.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
two ^cd++++=two
categories ^nns++++=categories
were ^vbd+bed+vrb++=were
further ^jjb++++=further
subdivided ^jj+++xvbn+=subdivided
into ^in++++=into
four ^cd++++=four
more ^rbr++++=more
specific ^jj+atrb+++=specific
typologies ^nns+++??+=typologies.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
providing ^vbg+++xvbg+=providing
explanations ^nns+nom+++=explanations
described ^vbd+++xvbn+=described
sequences ^nns+nom+++=sequences
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
teacher ^nn++++=teacher
delivered ^vwbn+++xvbn+=delivered
explanations ^nns+nom+++=explanations
directly ^rb++++=directly
to ^in++++=to
the ^ati++++=the
students ^nns++++=students.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
sample ^nn++++=sample
of ^in++++=of
talk ^vb++++=talk-intensive
- ^zz++++=EXTRAWORD
intensive ^jj+atrb+++=EXTRAWORD
lessons ^nns++++=lessons,
, ^zz++++=EXTRAWORD
such ^abl++++=such
direct ^jj+atrb+++=direct
instruction ^nn+nom+++=instruction
was ^vbd+bedz+vrb++=was
highly ^rb+amp+++=highly
interactive ^jj+pred+++=interactive,
, ^zz++++=EXTRAWORD
with ^in++++=with
students ^nns++++=students
contributing ^vwbg+++xvbg+=contributing
occasionally ^rb+cnj+++=occasionally,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
teacher ^nn++++=teacher
was ^vbd+bedz+vrb++=was
primarily ^rb+down+++=primarily
responsible ^jj+pred+++=responsible
for ^in++++=for
the ^ati++++=the
conceptual ^jj+atrb+++=conceptual
development ^nn+nom+++=development.
. ^zz++++=EXTRAWORD
