Taking ^vbg+++xvbg+=Taking
photographs ^nns++++=photographs
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
permitted ^vpsv++agls+xvbnx+=permitted;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
participants ^nns+nom+++=participants
were ^vbd+bed+aux++=were
advised ^vpsv++agls+xvbnx+=advised
to ^to+vcmp+++=to
avoid ^vbi++++=avoid
capturing ^vbg+++xvbg+=capturing
images ^nns++++=images
of ^in++++=of
unclothed ^jj+atrb++xvbn+=unclothed
children ^nns++++=children
or ^cc++++=or
topless ^jj+atrb+++=topless
women ^nns++++=women,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
community ^nn+nom+++=community
no ^at++++=no
longer ^rbr++++=longer
engages ^nns+nom+++=engages
in ^in++++=in
these ^dt+dem+++=these
traditional ^jj+atrb+++=traditional
practices ^nns++++=practices.
. ^zz++++=EXTRAWORD
