Among ^in++++=Among
journals ^nns+nom+++=journals
that ^tht+rel+obj++=that
charge ^nn++++=charge
article ^nn++++=article
processing ^vwbg+++xvbg+=processing
charges ^nns++++=charges
( ^zz++++=(APCs),
apcs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
38 ^cd++++=38%
% ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
managed ^vpsv++by+xvbnx+=managed
by ^in++++=by
scientific ^jj+atrb+++=scientific
societies ^nns++++=societies,
, ^zz++++=EXTRAWORD
37 ^cd++++=37%
% ^zz++++=EXTRAWORD
by ^in++++=by
universities ^nns+nom+++=universities,
, ^zz++++=EXTRAWORD
13 ^cd++++=13%
% ^zz++++=EXTRAWORD
by ^in++++=by
major ^jj+atrb+++=major
commercial ^jj+atrb+++=commercial
publishers ^nns+nom+++=publishers,
, ^zz++++=EXTRAWORD
7 ^zz++++=7%
% ^zz++++=EXTRAWORD
by ^in++++=by
governmental ^jj+atrb+++=governmental
organizations ^nns+nom+++=organizations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
by ^in++++=by
small ^jj+atrb+++=small
commercial ^jj+atrb+++=commercial
publishers ^nns+nom+++=publishers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
adoption ^nn+nom+++=adoption
of ^in++++=of
Apcs ^np+++??+=APCs
by ^in++++=by
many ^ap++++=many
journals ^nns+nom+++=journals
managed ^vwbn+++xvbn+=managed
by ^in++++=by
the ^ati++++=the
academic ^jj+atrb+++=academic
community ^nn+nom+++=community
raises ^vbz++++=raises
questions ^nns+nom+++=questions
regarding ^in++++=regarding
the ^ati++++=the
sustainability ^nn+nom+++=sustainability
of ^in++++=of
these ^dt+dem+++=these
journals ^nns+nom+++=journals
and ^cc++++=and
their ^pp$+pp3+++=their
varying ^jj+atrb++xvbg+=varying
levels ^nns++++=levels
of ^in++++=of
institutionalization ^nn+nom+++=institutionalization.
. ^zz++++=EXTRAWORD
C ^zz++++=C
rdoba ^nn+++??+=rdoba
Gonz ^np+++??+=Gonz
lez ^nn+++??+=lez
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
notes ^vb++++=notes
that ^tht+vcmp+++=that
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
journals ^nns+nom+++=journals
with ^in++++=with
Apcs ^np+++??+=APCs
generally ^rb+down+++=generally
set ^vb+++xvbn+=set
relatively ^rb++++=relatively
low ^jj+atrb+++=low
fees ^nns++++=fees,
, ^zz++++=EXTRAWORD
a ^at++++=a
trend ^nn++++=trend
also ^rb++++=also
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
the ^ati++++=the
journals ^nns+nom+++=journals
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
Oliva ^np+++??+=OLIVA
database ^nn+++??+=database.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
these ^dt+dem+++=these
journals ^nns+nom+++=journals
implement ^nn+nom+++=implement
Apcs ^np+++??+=APCs
primarily ^rb+down+++=primarily
to ^to++++=to
cover ^vbi++++=cover
the ^ati++++=the
costs ^nn++++=costs
associated ^vbd+++xvbn+=associated
with ^in++++=with
editorial ^jj+atrb+++=editorial
processes ^nns+nom+++=processes
and ^cc++++=and
peer ^nn++++=peer
review ^nn++++=review
management ^nn+nom+++=management,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
not ^xnot++not++=not
otherwise ^rb+cnj+++=otherwise
funded ^vpsv++by+xvbn+=funded
by ^in++++=by
their ^pp$+pp3+++=their
institutions ^nns+nom+++=institutions.
