As ^in++++=As
the ^ati++++=the
mobility ^nn+nom+++=mobility
paradigm ^nn++++=paradigm
has ^vbz+hvz+aux++=has
developed ^vprf+++xvbnx+=developed
within ^in++++=within
sociolinguistics ^nns++++=sociolinguistics
and ^cc++++=and
the ^ati++++=the
broader ^jjr+atrb+++=broader
social ^jj+atrb+++=social
sciences ^nns+nom+++=sciences,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
increasing ^vbg+++xvbgx+=increasing
divergence ^nn+nom+++=divergence
in ^in++++=in
scholarly ^jj+atrb+++=scholarly
perspectives ^nns++++=perspectives.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
strand ^nn++++=strand
of ^in++++=of
research ^nn++++=research
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Cresswell ^np+++??+=Cresswell,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Brenner ^np+++??+=Brenner,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
Hannam ^np+++??+=Hannam
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006;
; ^zz++++=EXTRAWORD
Urry ^np+++??+=Urry,
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007)
) ^zz++++=EXTRAWORD
critiques ^nns++++=critiques
studies ^nns++++=studies
that ^tht+rel+obj++=that
focus ^nn++++=focus
exclusively ^rb++++=exclusively
on ^in++++=on
mobility ^nn+nom+++=mobility
and ^cc++++=and
adopt ^vb++++=adopt
deterritorialized ^jj+atrb++xvbn+=deterritorialized
approaches ^nns++++=approaches,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
seen ^vpsv++agls+xvbnx+=seen
as ^ql++++=as
promoting ^jj+++xvbg+=promoting
a ^at++++=a
new ^jj++++=new
" ^zz++++="grand
grand ^jj+atrb+++=EXTRAWORD
narrative ^nn++++=narrative"
" ^zz++++=EXTRAWORD
of ^in++++=of
mobility ^nn+nom+++=mobility,
, ^zz++++=EXTRAWORD
fluidity ^nn+nom+++=fluidity,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
liquidity ^nn+nom+++=liquidity
as ^ql++++=as
defining ^jj+atrb++xvbg+=defining
features ^nns++++=features
of ^in++++=of
postmodernity ^nn+nom+++=postmodernity
or ^cc++++=or
globalization ^nn+nom+++=globalization
( ^zz++++=(Hannam
hannam ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
5 ^zz++++=5).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
scholars ^nns++++=scholars
contend ^vb+vpub+++=contend
that ^tht+vcmp+++=that
analyses ^nns++++=analyses
of ^in++++=of
mobility ^nn+nom+++=mobility
are ^vb+ber+vrb++=are
incomplete ^jj+pred+++=incomplete
without ^in++++=without
consideration ^nn+nom+++=consideration
of ^in++++=of
moorings ^nns++++=moorings
and ^cc++++=and
processes ^nns+nom+++=processes
of ^in++++=of
reterritorialization ^nn+nom+++=reterritorialization.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
maintain ^vb+vpub+++=maintain
that ^tht+vcmp+++=that
forms ^nns++++=forms
of ^in++++=of
detachment ^nn+nom+++=detachment
or ^cc++++=or
deterritorialization ^nn+nom+++=deterritorialization
are ^vb+ber+aux++=are
invariably ^rb++splt++=invariably
accompanied ^vpsv++by+xvbnx+=accompanied
by ^in++++=by
various ^jj+atrb+++=various
types ^nns++++=types
of ^in++++=of
rhizomic ^jj+atrb+++=rhizomic
attachments ^nns+nom+++=attachments
and ^cc++++=and
reterritorializations ^nns+nom+++=reterritorializations
( ^zz++++=(Hannam
hannam ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
