Although ^cs+con+++=Although
this ^dt+dem+++=this
family ^nn++++=family
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
most ^ql+emph+++=most
accessible ^jj++++=accessible
and ^cc++++=and
adaptive ^nn++++=adaptive,
, ^zz++++=EXTRAWORD
analysis ^nn++++=analysis
of ^in++++=of
its ^pp$+it+++=its
functions ^nns+nom+++=functions
and ^cc++++=and
the ^ati++++=the
associated ^jj+++xvbn+=associated
interpersonal ^jj+atrb+++=interpersonal
and ^cc+phrs+++=and
contextual ^jj+atrb+++=contextual
factors ^nns++++=factors
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that
it ^pp3+it+++=it
may ^md+pos+++=may
also ^rb++++=also
be ^vb+be+aux++=be
linked ^vpsv++agls+xvbnx+=linked
to ^to++++=to
reduced ^vbi++++=reduced
well ^jj+pred+++=well-being.
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
it ^pp3+it+++=it
involves ^vbz++++=involves
more ^rbr++++=more
complex ^jj+atrb+++=complex
regulatory ^nn++++=regulatory
components ^nns++++=components,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
memory ^nn++++=memory
and ^cc++++=and
verbal ^jj+atrb+++=verbal
representations ^nns+nom+++=representations,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
demands ^vbz+vsua+++=demands
increased ^vprf+++xvbn+=increased
effort ^nn++++=effort
and ^cc++++=and
energy ^nn++++=energy
for ^in++++=for
the ^ati++++=the
monitoring ^jj+++xvbg+=monitoring
of ^in++++=of
cognitive ^jj+atrb+++=cognitive
processes ^nns+nom+++=processes,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
consuming ^vbg+++xvbg+=consuming
individual ^jj+atrb+++=individual
resources ^nns++++=resources
and ^cc++++=and
potentially ^rb++++=potentially
resulting ^jj+++xvbg+=resulting
in ^in++++=in
greater ^jjr+atrb+++=greater
exhaustion ^nn+nom+++=exhaustion
and ^cc++++=and
diminished ^jj+atrb++xvbn+=diminished
performance ^nn+nom+++=performance
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sheppes ^np+++??+=Sheppes,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Yin ^np+++??+=Yin,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
cognitive ^jj+atrb+++=cognitive
modification ^nn+nom+++=modification
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
invariably ^rb++++=invariably
beneficial ^jj++++=beneficial
or ^cc+phrs+++=or
sufficient ^jj++++=sufficient
for ^in++++=for
resolution ^nn+nom+++=resolution,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
though ^cs+sub+++=though
it ^pp3+it+++=it
remains ^nns++++=remains
essential ^nn++++=essential
for ^in++++=for
gradual ^jj+atrb+++=gradual
adaptation ^nn+nom+++=adaptation.
. ^zz++++=EXTRAWORD
