Once ^rb+tm+++=Once
materials ^nns+nom+++=materials
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
archived ^vpsv++agls+xvbnx+=archived,
, ^zz++++=EXTRAWORD
significant ^jj+atrb+++=significant
periods ^nns++++=periods
of ^in++++=of
time ^nn++++=time
may ^md+pos+++=may
elapse ^vb++++=elapse
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
accessed ^vpsv++agls+xvbnx+=accessed
or ^cc+phrs+++=or
utilized ^vpsv++by+xvbn+=utilized
by ^in++++=by
other ^ap++++=other
researchers ^nns+nom+++=researchers.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
linguist ^nn+nom+++=linguist
Catherine ^np++++=Catherine
Callaghan ^np+nom+++=Callaghan
( ^zz++++=(1931
1931 ^cd+date+++=EXTRAWORD
2019 ^cd++++=2019)
) ^zz++++=EXTRAWORD
recorded ^vbn+vpub++xvbn+=recorded
Sarah ^np++++=Sarah
Ballard ^np+++??+=Ballard
speaking ^vwbg+++xvbg+=speaking
Bodega ^np+++??+=Bodega
Miwok ^np+++??+=Miwok
( ^zz++++=(Miwokan;
miwokan ^jj++++=EXTRAWORD
; ^zz++++=EXTRAWORD
California ^np++++=California)
) ^zz++++=EXTRAWORD
in ^in++++=in
1960 ^cd+date+++=1960
while ^cs+sub+++=while
Callaghan ^np+nom+++=Callaghan
was ^vbd+bedz+vrb++=was
a ^at++++=a
graduate ^nn+nom+++=graduate
student ^nn++++=student
in ^in++++=in
linguistics ^nn++++=linguistics
at ^in++++=at
the ^ati++++=the
University ^nn+nom+++=University
of ^in++++=of
California ^np++++=California,
, ^zz++++=EXTRAWORD
Berkeley ^np++++=Berkeley
( ^zz++++=(PhD,
phd ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1963 ^cd+date+++=1963).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
donated ^vwbn+++xvbn+=donated
these ^dt+pdem+++=these
and ^cc++++=and
additional ^jj+atrb+++=additional
recordings ^nns++++=recordings
to ^in++++=to
the ^ati++++=the
California ^np++++=California
Language ^nn+nom+++=Language
Archive ^np+++??+=Archive
in ^in++++=in
1979 ^cd+date+++=1979
( ^zz++++=(Ballard
ballard ^nn+++??+=EXTRAWORD
and ^cc++++=and
Callaghan ^np+nom+++=Callaghan,
, ^zz++++=EXTRAWORD
n.d. ^nn+++??+=n.d.).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Approximately ^rb+down+++=Approximately
forty ^cd++++=forty
years ^nns++++=years
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
in ^in++++=in
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
linguist ^nn+nom+++=linguist
Andrew ^np++++=Andrew
Cowell ^np+++??+=Cowell
( ^zz++++=(Berkeley
berkeley ^np++++=EXTRAWORD
Phd ^np+++??+=PhD,
, ^zz++++=EXTRAWORD
1993 ^cd+date+++=1993)
) ^zz++++=EXTRAWORD
