Participants ^nns+nom+++=Participants
reported ^vbd+vpub++xvbn+=reported
a ^at++++=a
range ^nn++++=range
of ^in++++=of
emotions ^nns+nom+++=emotions
in ^in++++=in
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
identified ^jj+atrb++xvbn+=identified
emotional ^jj+atrb+++=emotional
demands ^nns++++=demands
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
some ^dti++++=some
participants ^nns+nom+++=participants
mentioned ^vbd+vpub++xvbn+=mentioned
positive ^jj+atrb+++=positive
emotions ^nns+nom+++=emotions,
, ^zz++++=EXTRAWORD
the ^ati++++=the
primary ^jj+atrb+++=primary
focus ^nn++++=focus
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
was ^vbd+bedz+vrb++=was
on ^in++++=on
negative ^jj+atrb+++=negative
emotional ^jj+atrb+++=emotional
responses ^nns++++=responses.
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
frequently ^rb++++=frequently
reported ^vbd+vpub++xvbn+=reported
and ^cc++++=and
significant ^jj+atrb+++=significant
negative ^jj+atrb+++=negative
emotions ^nns+nom+++=emotions
were ^vbd+bed+vrb++=were
anger ^nn++++=anger,
, ^zz++++=EXTRAWORD
frustration ^nn+nom+++=frustration,
, ^zz++++=EXTRAWORD
helplessness ^nns+nom+++=helplessness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sadness ^nns+nom+++=sadness.
. ^zz++++=EXTRAWORD
Interactional ^np+nom++??+=Interactional
demands ^nns++++=demands,
, ^zz++++=EXTRAWORD
including ^in++++=including
inappropriate ^jj+atrb+++=inappropriate
behavior ^nn++++=behavior,
, ^zz++++=EXTRAWORD
perceived ^vpbn+vprv++xvbn+=perceived
lack ^nn++++=lack
of ^in++++=of
support ^nn++++=support,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
excessive ^jj+atrb+++=excessive
bureaucracy ^nn+nom+++=bureaucracy,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
most ^ql+emph+++=most
commonly ^rb++++=commonly
associated ^vbd+++xvbn+=associated
with ^in++++=with
anger ^nn++++=anger,
, ^zz++++=EXTRAWORD
frustration ^nn+nom+++=frustration,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fear ^nn++++=fear.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
technical ^jj++++=technical-pedagogical
- ^zz++++=EXTRAWORD
pedagogical ^jj+atrb+++=EXTRAWORD
demands ^nns++++=demands,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
student ^nn++++=student
demotivation ^nn+nom+++=demotivation,
, ^zz++++=EXTRAWORD
learning ^vbg+vprv++xvbg+=learning
disabilities ^nns+nom+++=disabilities,
, ^zz++++=EXTRAWORD
classroom ^nn++++=classroom
management ^nn+nom+++=management
challenges ^vbz++++=challenges,
, ^zz++++=EXTRAWORD
diversity ^nn+nom+++=diversity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
academic ^jj+atrb+++=academic
indiscipline ^nn++++=indiscipline,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
more ^rbr++splt++=more
often ^rb++++=often
linked ^vbd+++xvbn+=linked
to ^in++++=to
frustration ^nn+nom+++=frustration,
, ^zz++++=EXTRAWORD
worry ^vb+vprv+++=worry,
, ^zz++++=EXTRAWORD
compassion ^nn++++=compassion,
, ^zz++++=EXTRAWORD
impotence ^nn+nom+++=impotence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anguish ^nn++++=anguish,
, ^zz++++=EXTRAWORD
with ^in++++=with
demotivation ^nn+nom+++=demotivation
and ^cc++++=and
learning ^nvbg+++xvbg+=learning
disabilities ^nns+nom+++=disabilities
being ^vwbg+beg++xvbg+=being
particularly ^rb++++=particularly
salient ^jj++++=salient.
. ^zz++++=EXTRAWORD
Overall ^jjb+atrb+++=Overall,
, ^zz++++=EXTRAWORD
interactional ^jj+atrb+++=interactional
demands ^nns++++=demands
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
elicit ^vbi++++=elicit
the ^ati++++=the
most ^ql+emph+++=most
intense ^jj++++=intense
and ^cc+phrs+++=and
challenging ^jj+atrb+++=challenging
negative ^jj+atrb+++=negative
emotions ^nns+nom+++=emotions
to ^to++++=to
regulate ^nn+nom+++=regulate.
. ^zz++++=EXTRAWORD
