The ^ati++++=The
field ^nn++++=field
techniques ^nns++++=techniques
used ^md"++pmd"++=used
to ^to++++=to
obtain ^vb++++=obtain
information ^nn+nom+++=information
adhered ^vwbn+++xvbn+=adhered
to ^to++++=to
established ^vbn+vprv++xvbn+=established
standards ^nns++++=standards,
, ^zz++++=EXTRAWORD
with ^in++++=with
modifications ^nns+nom+++=modifications
made ^vbd+++xvbn+=made
as ^ql++++=as
necessary ^jj++++=necessary
to ^to+jcmp+++=to
address ^nns+nom+++=address
specific ^jj+atrb+++=specific
data ^nns++++=data
requirements ^nns+nom+++=requirements.
. ^zz++++=EXTRAWORD
A ^at++++=A
journal ^nn++++=journal
was ^vbd+bedz+aux++=was
maintained ^vpsv++agls+xvbnx+=maintained,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
daily ^jj+atrb+++=daily
measurements ^nns+nom+++=measurements
of ^in++++=of
temperature ^nn++++=temperature,
, ^zz++++=EXTRAWORD
humidity ^nn+nom+++=humidity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
precipitation ^nn+nom+++=precipitation
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded
at ^rb++++=at
the ^ati++++=the
camp ^nn++++=camp.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
collected ^vwbn+++xvbn+=collected
through ^in++++=through
observation ^nn+nom+++=observation
and ^cc++++=and
interviews ^nns++++=interviews
were ^vbd+bed+aux++=were
systematically ^rb++splt++=systematically
documented ^vpsv++agls+xvbnx+=documented
on ^in++++=on
four ^cd++++=four-by-six
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
slips ^nns++++=slips
or ^cc++++=or
other ^ap++++=other
suitable ^jj+atrb+++=suitable
formats ^nns++++=formats,
, ^zz++++=EXTRAWORD
prepared ^xvbn+++xvbn+=prepared
in ^in++++=in
duplicate ^nn+nom+++=duplicate
and ^cc++++=and
annotated ^jj++++=annotated
with ^in++++=with
the ^ati++++=the
date ^nn++++=date,
, ^zz++++=EXTRAWORD
location ^nn+nom+++=location,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
informant ^nn+nom+++=informant
s ^zz++++=s
name ^nn++++=name.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
specimens ^nns++++=specimens,
, ^zz++++=EXTRAWORD
photographs ^nns++++=photographs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tape ^nn++++=tape
recordings ^nns++++=recordings
were ^vbd+bed+aux++=were
collected ^vbd+++xvbn+=collected
whenever ^nn+nom+++=whenever
feasible ^jj++++=feasible
to ^to++++=to
ensure ^vb+vprv+++=ensure
comprehensive ^jj+atrb+++=comprehensive
documentation ^nn+nom+++=documentation.
. ^zz++++=EXTRAWORD
