Ex ^np++++=Ex-situ
- ^zz++++=EXTRAWORD
situ ^nn++++=EXTRAWORD
conservation ^nn+nom+++=conservation
of ^in++++=of
palm ^nn++++=palm
seeds ^nns++++=seeds
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
consistently ^rb++splt++=consistently
associated ^vpsv++agls+xvbn+=associated
with ^in++++=with
a ^at++++=a
decline ^nn++++=decline
in ^in++++=in
seed ^nn++++=seed
viability ^nn+nom+++=viability
over ^in++++=over
time ^nn++++=time
( ^zz++++=(Broschat
broschat ^nn+++??+=EXTRAWORD
1994 ^cd+date+++=1994,
, ^zz++++=EXTRAWORD
Orozco ^np+++??+=Orozco-Segovia
- ^zz++++=EXTRAWORD
segovia ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003,
, ^zz++++=EXTRAWORD
Nascimento ^np+++??+=Nascimento
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2010 ^cd++++=2010,
, ^zz++++=EXTRAWORD
Jacob ^np++++=Jacob
& ^zz++++=&
Decruse ^np+++??+=Decruse
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
Oliveira ^np+++??+=Oliveira
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
Felix ^np++++=Felix
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
Beltrame ^np+++??+=Beltrame
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018,
, ^zz++++=EXTRAWORD
Bastos ^np+++??+=Bastos
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
viability ^nn+nom+++=viability
of ^in++++=of
tropical ^jj+atrb+++=tropical
palm ^nn++++=palm
seeds ^nns++++=seeds
during ^in++++=during
storage ^nn+nom+++=storage
is ^vbz+bez+aux++=is
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
several ^ap++++=several
external ^jj+atrb+++=external
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
including ^in++++=including
temperature ^nn++++=temperature
and ^cc++++=and
storage ^nn+nom+++=storage
duration ^nn+nom+++=duration,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
intrinsic ^jj+atrb+++=intrinsic
factors ^nns++++=factors
such ^abl++++=such
as ^ql++++=as
seed ^nns++++=seed
moisture ^nn++++=moisture
content ^nn++++=content,
, ^zz++++=EXTRAWORD
degree ^nn++++=degree
of ^in++++=of
seed ^nn++++=seed
maturation ^nn+nom+++=maturation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
desiccation ^nn+nom+++=desiccation
sensitivity ^nn+nom+++=sensitivity
( ^zz++++=(recalcitrance)
recalcitrance ^nn+nom+++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Roberts
roberts ^np++++=EXTRAWORD
1973 ^cd+date+++=1973,
, ^zz++++=EXTRAWORD
Orozco ^np+++??+=Orozco-Segovia
- ^zz++++=EXTRAWORD
segovia ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003,
, ^zz++++=EXTRAWORD
Baskin ^np+++??+=Baskin
& ^zz++++=&
Baskin ^np+++??+=Baskin
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
Sano ^np+++??+=Sano
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Recalcitrant ^np+nom++??+=Recalcitrant
seeds ^nns++++=seeds
are ^vb+ber+vrb++=are
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
tolerate ^nn+nom+++=tolerate
water ^nn++++=water
loss ^nn++++=loss
below ^in+pl+++=below
a ^at++++=a
threshold ^nn++++=threshold
of ^in++++=of
approximately ^rb+down+++=approximately
12 ^cd++++=12%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
rapid ^jj+atrb+++=rapid
viability ^nn+nom+++=viability
loss ^nn++++=loss
under ^in++++=under
laboratory ^nn++++=laboratory
storage ^nn+nom+++=storage
conditions ^nns+nom+++=conditions
( ^zz++++=(Hong
hong ^np++++=EXTRAWORD
& ^zz++++=&
Ellis ^np++++=Ellis
1996 ^cd+date+++=1996)
) ^zz++++=EXTRAWORD
and ^cc++++=and
limited ^vwbn+++xvbn+=limited
potential ^jj++++=potential
for ^in++++=for
persistence ^nn+nom+++=persistence
in ^in++++=in
soil ^nn++++=soil
seed ^nn++++=seed
banks ^nns++++=banks
( ^zz++++=(Oliveira
oliveira ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
orthodox ^jj+atrb+++=orthodox
seeds ^nns++++=seeds
can ^md+pos+++=can
maintain ^vb+vpub+++=maintain
viability ^nn+nom+++=viability
during ^in++++=during
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
ex ^np++++=ex-situ
- ^zz++++=EXTRAWORD
situ ^nn++++=EXTRAWORD
storage ^nn+nom+++=storage
when ^wrb+who+++=when
kept ^vbd+++xvbn+=kept
under ^rb+phrv+++=under
appropriate ^jj+atrb+++=appropriate
environmental ^jj+atrb+++=environmental
conditions ^nns+nom+++=conditions
( ^zz++++=(Hong
hong ^np++++=EXTRAWORD
& ^zz++++=&
