Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
Comprehensive ^jj+atrb+++=Comprehensive
searches ^nns++++=searches
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
Cinahl ^np+++??+=CINAHL,
, ^zz++++=EXTRAWORD
Lilacs ^np+++??+=LILACS,
, ^zz++++=EXTRAWORD
Embase ^np+++??+=Embase,
, ^zz++++=EXTRAWORD
Web ^nn++++=Web
of ^in++++=of
Science ^nn+nom+++=Science,
, ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed,
, ^zz++++=EXTRAWORD
Cochrane ^np+++??+=Cochrane,
, ^zz++++=EXTRAWORD
Nice ^jj++++=NICE,
, ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus,
, ^zz++++=EXTRAWORD
Jbisrir ^np+++??+=JBISRIR,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gray ^np++++=gray
literature ^nn++++=literature
sources ^nns++++=sources,
, ^zz++++=EXTRAWORD
in ^in++++=in
English ^nn++++=English,
, ^zz++++=EXTRAWORD
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Spanish ^jj++++=Spanish,
, ^zz++++=EXTRAWORD
without ^in++++=without
restrictions ^nns+nom+++=restrictions
on ^in++++=on
publication ^nn+nom+++=publication
date ^nn++++=date.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
authors ^nns++++=authors
independently ^rb++++=independently
screened ^vbd+++xvbn+=screened
all ^rb++++=all
citations ^nns+nom+++=citations,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
third ^nn++++=third
author ^nn++++=author
resolving ^jj++++=resolving
any ^dti++++=any
discrepancies ^nns++++=discrepancies.
. ^zz++++=EXTRAWORD
Studies ^nns++++=Studies
were ^vbd+bed+aux++=were
included ^vpsv++agls+xvbnx+=included
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
involved ^vbd+++xvbnx+=involved
adults ^nns++++=adults
with ^in++++=with
malignant ^jj+atrb+++=malignant
fungal ^nn++++=fungal
wounds ^nns++++=wounds
and ^cc++++=and
reported ^vpsv++agls+xvbn+=reported
on ^in++++=on
topical ^jj+atrb+++=topical
pain ^nn++++=pain
interventions ^nns+nom+++=interventions.
. ^zz++++=EXTRAWORD
A ^at++++=A
data ^nns++++=data
extraction ^nn+nom+++=extraction
tool ^nn++++=tool
was ^vbd+bedz+aux++=was
developed ^vpsv++agls+xvbnx+=developed
to ^to++++=to
facilitate ^nn+nom+++=facilitate
synthesis ^nn++++=synthesis
and ^cc++++=and
thematic ^jj+atrb+++=thematic
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Study ^nn++++=study
Adhered ^vpsv++agls+xvbn+=adhered
To ^in++++=to
The ^ati++++=the
Prisma ^np++++=PRISMA-ScR
 ^zz++++=EXTRAWORD
Scr ^np++++=EXTRAWORD
Checklist ^np+nom+++=Checklist.
 ^zz++++=EXTRAWORD
