Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
data ^nns++++=data
from ^in++++=from
Sazima ^np+++??+=Sazima
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2012)
2012 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Mikula ^np+++??+=Mikula
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2017),
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
reconstructed ^vbd+++xvbn+=reconstructed
the ^ati++++=the
cleaning ^jj+atrb++xvbg+=cleaning
interaction ^nn+nom+++=interaction
networks ^nns++++=networks
for ^in++++=for
Brazil ^np++++=Brazil
( ^zz++++=(Pantanal)
pantanal ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
utilizing ^jj+++xvbg+=utilizing
a ^at++++=a
heat ^nn++++=heat
map ^nn++++=map
to ^to++++=to
illustrate ^nn+nom+++=illustrate
the ^ati++++=the
diet ^nn++++=diet
diversity ^nn+nom+++=diversity
index ^nn++++=index
for ^in++++=for
each ^dt++++=each
bird ^nn++++=bird
species ^nn++++=species
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
4 ^zz++++=4).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
these ^dt+dem+++=these
networks ^nns++++=networks,
, ^zz++++=EXTRAWORD
node ^nn+++??+=node
size ^nn++++=size
corresponds ^vbz++++=corresponds
to ^in++++=to
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
centrality ^nn+nom+++=centrality,
, ^zz++++=EXTRAWORD
with ^in++++=with
larger ^jjr+atrb+++=larger
nodes ^nns++++=nodes
indicating ^vwbg+vprv++xvbg+=indicating
bird ^nn++++=bird
species ^nns++++=species
that ^tht+rel+obj++=that
interact ^nn++++=interact
with ^in++++=with
a ^at++++=a
greater ^jjr+atrb+++=greater
diversity ^nn+nom+++=diversity
of ^in++++=of
host ^nn++++=host
species ^nn++++=species.
. ^zz++++=EXTRAWORD
