In ^rb++++=In
conclusion ^rb"++++=conclusion,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stems ^nns++++=stems
and ^cc++++=and
leaves ^nns++++=leaves
of ^in++++=of
the ^ati++++=the
liana ^nn+++??+=liana
A ^at++++=A.
. ^zz++++=EXTRAWORD
crucigerum ^jj+++??+=crucigerum
exhibited ^jj+++xvbn+=exhibited
significantly ^rb++++=significantly
increased ^jj+atrb++xvbn+=increased
stiffness ^nns+nom+++=stiffness
after ^in++++=after
48 ^cd++++=48
hours ^nns++++=hours
of ^in++++=of
dehydration ^nn+nom+++=dehydration
following ^vwbg+++xvbg+=following
field ^nn++++=field
sampling ^nn+nom+++=sampling,
, ^zz++++=EXTRAWORD
compared ^j+++xvbn+=compared
to ^in++++=to
hydrated ^jj+atrb+++=hydrated
samples ^nns++++=samples.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
magnitude ^nn++++=magnitude
of ^in++++=of
the ^ati++++=the
dehydration ^nn+nom+++=dehydration
effect ^nn++++=effect
was ^vbd+bedz+vrb++=was
smaller ^jjr+pred+++=smaller
in ^in++++=in
lianas ^nns+++??+=lianas
than ^in++++=than
in ^in++++=in
other ^ap++++=other
growth ^nn++++=growth
forms ^nns++++=forms,
, ^zz++++=EXTRAWORD
likely ^jj++++=likely
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
distinctive ^jj+atrb+++=distinctive
anatomical ^jj+atrb+++=anatomical
structure ^nn++++=structure
of ^in++++=of
lianas ^nns+++??+=lianas.
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
these ^dt+dem+++=these
findings ^nns++++=findings,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
that ^tht+vcmp+++=that
biomechanical ^jj+atrb+++=biomechanical
assessments ^nns+nom+++=assessments
of ^in++++=of
plant ^nn++++=plant
organs ^nns++++=organs
be ^vb+be+aux++=be
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
samples ^nns++++=samples
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
either ^dtx++++=either
kept ^vbd+++xvbn+=kept
consistently ^rb++++=consistently
moist ^jj++++=moist
or ^cc+phrs+++=or
tested ^jj+++xvbn+=tested
immediately ^rb+tm+++=immediately
after ^cs+sub+++=after
field ^nn++++=field
collection ^nn+nom+++=collection
to ^in++++=to
best ^jjt++++=best
represent ^vb++++=represent
natural ^jj+atrb+++=natural
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
contribute ^vb++++=contribute
to ^in++++=to
a ^at++++=a
more ^rbr++++=more
comprehensive ^jj++++=comprehensive
understanding ^jj+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
biomechanical ^jj+atrb+++=biomechanical
properties ^nns++++=properties
of ^in++++=of
liana ^nn+++??+=liana
stems ^nns++++=stems
and ^cc++++=and
leaves ^nns++++=leaves
and ^cc++++=and
provide ^vb+vsua+++=provide
empirical ^jj+atrb+++=empirical
support ^nn++++=support
for ^in++++=for
current ^jj+atrb+++=current
protocols ^nns++++=protocols
employed ^vwbn+++xvbn+=employed
in ^in++++=in
plant ^nn++++=plant
biomechanics ^nns++++=biomechanics
research ^nn++++=research.
. ^zz++++=EXTRAWORD
