Cleaning ^nvbg+++xvbg+=Cleaning
interactions ^nns+nom+++=interactions
between ^in++++=between
birds ^nns++++=birds
and ^cc++++=and
mammals ^nns+nom+++=mammals
encompass ^nns+++??+=encompass
a ^at++++=a
wide ^jj+atrb+++=wide
range ^nn++++=range
of ^in++++=of
species ^nn++++=species
and ^cc++++=and
ecological ^jj+atrb+++=ecological
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
By ^in++++=By
analyzing ^xvbg+++xvbg+=analyzing
two ^cd++++=two
networks ^nns++++=networks
of ^in++++=of
differing ^xvbg+++xvbg+=differing
sizes ^nns++++=sizes
and ^cc++++=and
geographic ^jj+atrb+++=geographic
locations ^nns+nom+++=locations,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
aimed ^vwbn+++xvbn+=aimed
to ^to+vcmp+++=to
identify ^vbi++++=identify
patterns ^nns++++=patterns
in ^in++++=in
facultative ^jj+atrb+++=facultative
interactions ^nns+nom+++=interactions
from ^in++++=from
a ^at++++=a
broader ^jjr+atrb+++=broader
perspective ^nn++++=perspective.
. ^zz++++=EXTRAWORD
Species ^nns++++=Species
with ^in++++=with
a ^at++++=a
broad ^jj+atrb+++=broad
dietary ^jj+atrb+++=dietary
repertoire ^nn++++=repertoire
may ^md+pos+++=may
participate ^nn+nom+++=participate
in ^in++++=in
various ^jj+atrb+++=various
types ^nns++++=types
of ^in++++=of
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
including ^in++++=including
facultative ^jj+atrb+++=facultative
associations ^nns+nom+++=associations
such ^abl++++=such
as ^ql++++=as
cleaning ^jj+atrb++xvbg+=cleaning
symbiosis ^nns+++??+=symbiosis.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
a ^at++++=a
bird ^nn++++=bird
encounters ^nns+nom+++=encounters
an ^at++++=an
opportunity ^nn+nom+++=opportunity
defined ^vwbn+vprv++xvbn+=defined
here ^rn+pl+++=here
as ^in++++=as
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
mammal ^jj+atrb+++=mammal
hosting ^jj+atrb++xvbg+=hosting
accessible ^jj+atrb+++=accessible
food ^nn++++=food
resources ^nns++++=resources
the ^ati++++=the
likelihood ^nn+nom+++=likelihood
of ^in++++=of
exploiting ^xvbg+++xvbg+=exploiting
this ^dt+dem+++=this
opportunity ^nn+nom+++=opportunity
is ^vbz+bez+aux++=is
determined ^vpsv++by+xvbnx+=determined
by ^in++++=by
the ^ati++++=the
species ^nn++++=species
natural ^jj+atrb+++=natural
history ^nn++++=history.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
for ^in++++=for
most ^ql+emph+++=most
cleaner ^jjr+atrb+++=cleaner
species ^nn++++=species,
, ^zz++++=EXTRAWORD
the ^ati++++=the
capacity ^nn+nom+++=capacity
to ^to+ncmp+++=to
consume ^vbi++++=consume
diverse ^jj+atrb+++=diverse
resources ^nns++++=resources
is ^vbz+bez+vrb++=is
an ^at++++=an
important ^jj+atrb+++=important
factor ^nn++++=factor
in ^in++++=in
engaging ^nn++++=engaging
in ^in++++=in
cleaning ^xvbg+++xvbg+=cleaning
interactions ^nns+nom+++=interactions.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
significance ^nn+nom+++=significance
of ^in++++=of
dietary ^jj+atrb+++=dietary
diversity ^nn+nom+++=diversity
for ^in++++=for
participation ^nn+nom+++=participation
in ^in++++=in
these ^dt+dem+++=these
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
hypothesized ^vpsv++agls+xvbnx+=hypothesized
that ^tht+vcmp+++=that
network ^nn++++=network
structural ^jj+atrb+++=structural
properties ^nns++++=properties,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
degree ^nn++++=degree
centrality ^nn+nom+++=centrality,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
also ^rb++++=also
be ^vb+be+aux++=be
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
dietary ^jj+atrb+++=dietary
diversity ^nn+nom+++=diversity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
objective ^nn++++=objective
of ^in++++=of
this ^dt+dem+++=this
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
implications ^nns+nom+++=implications
of ^in++++=of
resource ^nn++++=resource
consumption ^nn+nom+++=consumption
for ^in++++=for
community ^nn+nom+++=community
structure ^nn++++=structure.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
network ^nn++++=network
degree ^nn++++=degree
centrality ^nn+nom+++=centrality
revealed ^vbd+vprv++xvbn+=revealed
no ^at++++=no
relationship ^nn+nom+++=relationship
between ^in++++=between
centrality ^nn+nom+++=centrality
and ^cc++++=and
the ^ati++++=the
diet ^nn++++=diet
diversity ^nn+nom+++=diversity
index ^nn++++=index
of ^in++++=of
bird ^nn++++=bird
species ^nn++++=species,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
the ^ati++++=the
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
consume ^vbi++++=consume
a ^at++++=a
variety ^nn++++=variety
of ^in++++=of
resources ^nns++++=resources
does ^vbz+doz+aux++=does
not ^xnot++not++=not
influence ^nn+nom+++=influence
a ^at++++=a
species ^nn++++=species
centrality ^nn+nom+++=centrality
within ^in++++=within
the ^ati++++=the
network ^nn++++=network.
. ^zz++++=EXTRAWORD
