Some ^dti++++=Some
scholars ^nns++++=scholars
regard ^vb++++=regard
critical ^jj+atrb+++=critical
theory ^nn++++=theory
as ^in++++=as
a ^at++++=a
distinct ^jj+atrb+++=distinct
third ^nn++++=third
research ^nn++++=research
paradigm ^nn++++=paradigm
( ^zz++++=(Cohen
cohen ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007;
; ^zz++++=EXTRAWORD
Guba ^np+++??+=Guba
& ^zz++++=&
Lincoln ^np++++=Lincoln,
, ^zz++++=EXTRAWORD
1994 ^cd+date+++=1994;
; ^zz++++=EXTRAWORD
Treagust ^np+++??+=Treagust
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Proponents ^np+++??+=Proponents
of ^in++++=of
this ^dt+dem+++=this
approach ^nn++++=approach
focus ^nn++++=focus
on ^in++++=on
the ^ati++++=the
political ^jj+atrb+++=political
and ^cc+phrs+++=and
ideological ^jj+atrb+++=ideological
dimensions ^nns++++=dimensions
of ^in++++=of
human ^jj+atrb+++=human
interaction ^nn+nom+++=interaction,
, ^zz++++=EXTRAWORD
contending ^vb++++=contending
that ^tht+vcmp+++=that
elements ^nns+nom+++=elements
such ^abl++++=such
as ^ql++++=as
power ^nn++++=power
and ^cc++++=and
inequality ^nn+nom+++=inequality
significantly ^rb++++=significantly
influence ^nn+nom+++=influence
human ^jj+atrb+++=human
behavior ^nn++++=behavior,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
practices ^nns++++=practices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perceptions ^nns+nom+++=perceptions
of ^in++++=of
reality ^nn+nom+++=reality
( ^zz++++=(Cohen
cohen ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
